Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2	project	condition	reference_condition
ERX1101427	2017-09-22 07:55:23	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2500	ERR1022493	ERP012221	PRJEB10919	411807	ERS853141	SAMEA3545992	ERA486526	RNA-Seq	RANDOM	TRANSCRIPTOMIC		RACHELPJLAI	0	0	4512065	7691899								sputum	expn_growth	expn_growth
ERX1101428	2017-09-22 07:55:23	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2500	ERR1022494	ERP012221	PRJEB10919	411807	ERS853142	SAMEA3545993	ERA486526	RNA-Seq	RANDOM	TRANSCRIPTOMIC		RACHELPJLAI	0	0	4512066	7691900								sputum	stat_growth	expn_growth
ERX1101429	2017-09-22 07:55:23	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2500	ERR1022495	ERP012221	PRJEB10919	411807	ERS853143	SAMEA3545994	ERA486526	RNA-Seq	RANDOM	TRANSCRIPTOMIC		RACHELPJLAI	0	0	4512067	7691901								sputum	stat_growth	expn_growth
ERX1101430	2017-09-22 07:55:23	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2500	ERR1022496	ERP012221	PRJEB10919	411807	ERS853140	SAMEA3545991	ERA486526	RNA-Seq	RANDOM	TRANSCRIPTOMIC		RACHELPJLAI	0	0	4512068	7691912								sputum	expn_growth	expn_growth
ERX1404043	2016-12-02 11:01:27	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1332451	ERP014650	PRJEB13114	341617	ERS1091711	SAMEA3904577	ERA585446	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		OSLO UNIVERSITY HOSPITAL	0	0	3478950	6100540			27724857					genotoxic	growth_supplement	control
ERX1404044	2016-12-02 11:01:27	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1332452	ERP014650	PRJEB13114	341617	ERS1091712	SAMEA3904578	ERA585446	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		OSLO UNIVERSITY HOSPITAL	0	0	3478951	6100541			27724857					genotoxic	growth_supplement	control
ERX1404045	2016-12-02 11:01:27	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1332453	ERP014650	PRJEB13114	341617	ERS1091713	SAMEA3904579	ERA585446	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		OSLO UNIVERSITY HOSPITAL	0	0	3478952	6100542			27724857					genotoxic	control	control
ERX1404046	2016-12-02 11:01:27	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1332454	ERP014650	PRJEB13114	341617	ERS1091714	SAMEA3904580	ERA585446	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		OSLO UNIVERSITY HOSPITAL	0	0	3478953	6100543			27724857					genotoxic	control	control
ERX1776916	2016-10-25 11:45:30	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706682	ERP017985	PRJEB16133	350494	ERS1412894	SAMEA4513715	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328350	5940772				H37Rv				unknown	Mycobacterium tuberculosis	Mycobacterium tuberculosis
ERX1776917	2016-10-25 11:45:30	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706683	ERP017985	PRJEB16133	350494	ERS1412895	SAMEA4513716	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328351	5940773				H37Rv				unknown	MTB01	Mycobacterium tuberculosis
ERX1776918	2016-10-25 11:45:30	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706684	ERP017985	PRJEB16133	350494	ERS1412894	SAMEA4513715	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328352	5940772				H37Rv				unknown	Mycobacterium tuberculosis	Mycobacterium tuberculosis
ERX1776919	2016-10-25 11:45:30	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706685	ERP017985	PRJEB16133	350494	ERS1412895	SAMEA4513716	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328353	5940773				H37Rv				unknown	MTB01	Mycobacterium tuberculosis
ERX1776920	2016-10-25 11:45:30	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706686	ERP017985	PRJEB16133	350494	ERS1412895	SAMEA4513716	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328354	5940773				H37Rv				unknown	MTB01	Mycobacterium tuberculosis
ERX1776921	2016-10-25 11:45:30	1773	Mycobacterium tuberculosis	1773	1760	1773	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706687	ERP017985	PRJEB16133	350494	ERS1412896	SAMEA4513717	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328355	5940774				mycobacterium tuberculosis				unknown	MTB02-exp	Mycobacterium tuberculosis
ERX1776922	2016-10-25 11:45:30	1773	Mycobacterium tuberculosis	1773	1760	1773	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706688	ERP017985	PRJEB16133	350494	ERS1412897	SAMEA4513718	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328356	5940775				mycobacterium tuberculosis				unknown	MTB03-sta	Mycobacterium tuberculosis
ERX1776923	2016-10-25 11:45:30	1773	Mycobacterium tuberculosis	1773	1760	1773	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706689	ERP017985	PRJEB16133	350494	ERS1412898	SAMEA4513719	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328357	5940776				mycobacterium tuberculosis				unknown	MTB04-R1	Mycobacterium tuberculosis
ERX1776924	2016-10-25 11:45:30	1773	Mycobacterium tuberculosis	1773	1760	1773	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706690	ERP017985	PRJEB16133	350494	ERS1412899	SAMEA4513720	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328358	5940777				mycobacterium tuberculosis				unknown	MTB05-R2ex	Mycobacterium tuberculosis
ERX1776925	2016-10-25 11:45:30	1773	Mycobacterium tuberculosis	1773	1760	1773	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706691	ERP017985	PRJEB16133	350494	ERS1412900	SAMEA4513721	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328359	5940778				mycobacterium tuberculosis				unknown	MTB06-R2a	Mycobacterium tuberculosis
ERX1776926	2016-10-25 11:45:30	1773	Mycobacterium tuberculosis	1773	1760	1773	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706692	ERP017985	PRJEB16133	350494	ERS1412901	SAMEA4513722	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328360	5940779				mycobacterium tuberculosis				unknown	MTB07-R1a	Mycobacterium tuberculosis
ERX1776927	2016-10-25 11:45:30	1773	Mycobacterium tuberculosis	1773	1760	1773	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706693	ERP017985	PRJEB16133	350494	ERS1412902	SAMEA4513723	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328361	5940780				mycobacterium tuberculosis				unknown	MTB08-sta	Mycobacterium tuberculosis
ERX1776928	2016-10-25 11:45:30	1773	Mycobacterium tuberculosis	1773	1760	1773	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina Genome Analyzer II	ERR1706694	ERP017985	PRJEB16133	350494	ERS1412903	SAMEA4513724	ERA740549	RNA-Seq	cDNA	TRANSCRIPTOMIC		THE WELLCOME TRUST SANGER INSTITUTE	200	0	3328362	5940781				mycobacterium tuberculosis				unknown	MTB09-sta	Mycobacterium tuberculosis
ERX1818308	2017-08-02 07:22:39	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749111	ERP020415	PRJEB18483	396863	ERS1465355	SAMEA20430418	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334712	7437419								THP-1	ctrl_A	ctrl_B
ERX1818309	2017-08-02 07:22:39	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749112;ERR1749113	ERP020415	PRJEB18483	396863	ERS1465356	SAMEA20431168	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334713	7437420								THP-1	ctrl_B	ctrl_B
ERX1818310	2017-08-02 07:22:39	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749114;ERR1749115	ERP020415	PRJEB18483	396863	ERS1465357	SAMEA20431918	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334714	7437421								THP-1	ctrl_B	ctrl_B
ERX1818311	2017-08-02 07:22:39	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749116;ERR1749117	ERP020415	PRJEB18483	396863	ERS1465358	SAMEA20432668	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334715	7437422								THP-1	ctrl_C	ctrl_B
ERX1818315	2017-08-02 07:22:40	83332	Mycobacterium tuberculosis H37Rv	1773	1760	83332	Mycobacterium tuberculosis	PAIRED	ILLUMINA	Illumina HiSeq 1500	ERR1749123	ERP020415	PRJEB18483	396863	ERS1465362	SAMEA20435668	ERA771499	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Core Facility Microarray/Genomics, Max Planck Institute for Infection Biology, Berlin, D-10117, Germany	350	2	4334719	7437426								THP-1	ctrl_C	ctrl_B
