,gene_id,database,kegg_id
1855,Rv0001,KEGG_pathway,map02020
1856,Rv0001,KEGG_pathway,map04112
1863,Rv0002,KEGG_pathway,map00230
1864,Rv0002,KEGG_pathway,map00240
1865,Rv0002,KEGG_pathway,map01100
1866,Rv0002,KEGG_pathway,map03030
1867,Rv0002,KEGG_pathway,map03430
1868,Rv0002,KEGG_pathway,map03440
1870,Rv0003,KEGG_pathway,map03440
1873,Rv0009,KEGG_pathway,map01503
1874,Rv0009,KEGG_pathway,map04217
1876,Rv0013,KEGG_pathway,map00790
1878,Rv0016c,KEGG_pathway,map00550
1880,Rv0017c,KEGG_pathway,map04112
1882,Rv0021c,KEGG_pathway,map00910
1885,Rv0032,KEGG_pathway,map00780
1886,Rv0032,KEGG_pathway,map01100
1888,Rv0041,KEGG_pathway,map00970
1893,Rv0046c,KEGG_pathway,map00521
1894,Rv0046c,KEGG_pathway,map00562
1895,Rv0046c,KEGG_pathway,map01100
1896,Rv0046c,KEGG_pathway,map01130
1898,Rv0053,KEGG_pathway,map03010
1902,Rv0054,KEGG_pathway,map03030
1903,Rv0054,KEGG_pathway,map03430
1904,Rv0054,KEGG_pathway,map03440
1906,Rv0055,KEGG_pathway,map03010
1908,Rv0056,KEGG_pathway,map03010
1911,Rv0058,KEGG_pathway,map03030
1912,Rv0058,KEGG_pathway,map04112
1915,Rv0062,KEGG_pathway,map00500
1916,Rv0062,KEGG_pathway,map01100
1928,Rv0066c,KEGG_pathway,map00020
1929,Rv0066c,KEGG_pathway,map00480
1930,Rv0066c,KEGG_pathway,map00720
1931,Rv0066c,KEGG_pathway,map01100
1932,Rv0066c,KEGG_pathway,map01110
1933,Rv0066c,KEGG_pathway,map01120
1934,Rv0066c,KEGG_pathway,map01130
1935,Rv0066c,KEGG_pathway,map01200
1936,Rv0066c,KEGG_pathway,map01210
1937,Rv0066c,KEGG_pathway,map01230
1938,Rv0066c,KEGG_pathway,map04146
1946,Rv0069c,KEGG_pathway,map00260
1947,Rv0069c,KEGG_pathway,map00270
1948,Rv0069c,KEGG_pathway,map01100
1949,Rv0069c,KEGG_pathway,map01110
1950,Rv0069c,KEGG_pathway,map01130
1951,Rv0069c,KEGG_pathway,map01200
1952,Rv0069c,KEGG_pathway,map01230
1965,Rv0070c,KEGG_pathway,map00260
1966,Rv0070c,KEGG_pathway,map00460
1967,Rv0070c,KEGG_pathway,map00630
1968,Rv0070c,KEGG_pathway,map00670
1969,Rv0070c,KEGG_pathway,map00680
1970,Rv0070c,KEGG_pathway,map01100
1971,Rv0070c,KEGG_pathway,map01110
1972,Rv0070c,KEGG_pathway,map01120
1973,Rv0070c,KEGG_pathway,map01130
1974,Rv0070c,KEGG_pathway,map01200
1975,Rv0070c,KEGG_pathway,map01230
1976,Rv0070c,KEGG_pathway,map01523
1982,Rv0075,KEGG_pathway,map00270
1983,Rv0075,KEGG_pathway,map00450
1984,Rv0075,KEGG_pathway,map01100
1985,Rv0075,KEGG_pathway,map01110
1986,Rv0075,KEGG_pathway,map01230
1990,Rv0091,KEGG_pathway,map00270
1991,Rv0091,KEGG_pathway,map01100
1992,Rv0091,KEGG_pathway,map01230
1995,Rv0113,KEGG_pathway,map00540
1996,Rv0113,KEGG_pathway,map01100
1999,Rv0114,KEGG_pathway,map00540
2000,Rv0114,KEGG_pathway,map01100
2002,Rv0115,KEGG_pathway,map00540
2005,Rv0118c,KEGG_pathway,map00630
2006,Rv0118c,KEGG_pathway,map01100
2009,Rv0126,KEGG_pathway,map00500
2010,Rv0126,KEGG_pathway,map01100
2013,Rv0127,KEGG_pathway,map00500
2014,Rv0127,KEGG_pathway,map01100
2017,Rv0129c,KEGG_pathway,map00561
2018,Rv0129c,KEGG_pathway,map01100
2029,Rv0131c,KEGG_pathway,map00071
2030,Rv0131c,KEGG_pathway,map00280
2031,Rv0131c,KEGG_pathway,map00410
2032,Rv0131c,KEGG_pathway,map00640
2033,Rv0131c,KEGG_pathway,map01100
2034,Rv0131c,KEGG_pathway,map01110
2035,Rv0131c,KEGG_pathway,map01130
2036,Rv0131c,KEGG_pathway,map01200
2037,Rv0131c,KEGG_pathway,map01212
2038,Rv0131c,KEGG_pathway,map03320
2057,Rv0147,KEGG_pathway,map00010
2058,Rv0147,KEGG_pathway,map00053
2059,Rv0147,KEGG_pathway,map00071
2060,Rv0147,KEGG_pathway,map00280
2061,Rv0147,KEGG_pathway,map00310
2062,Rv0147,KEGG_pathway,map00330
2063,Rv0147,KEGG_pathway,map00340
2064,Rv0147,KEGG_pathway,map00380
2065,Rv0147,KEGG_pathway,map00410
2066,Rv0147,KEGG_pathway,map00561
2067,Rv0147,KEGG_pathway,map00620
2068,Rv0147,KEGG_pathway,map00625
2069,Rv0147,KEGG_pathway,map00903
2070,Rv0147,KEGG_pathway,map00981
2071,Rv0147,KEGG_pathway,map01100
2072,Rv0147,KEGG_pathway,map01110
2073,Rv0147,KEGG_pathway,map01120
2074,Rv0147,KEGG_pathway,map01130
2085,Rv0154c,KEGG_pathway,map00071
2086,Rv0154c,KEGG_pathway,map00280
2087,Rv0154c,KEGG_pathway,map00410
2088,Rv0154c,KEGG_pathway,map00640
2089,Rv0154c,KEGG_pathway,map01100
2090,Rv0154c,KEGG_pathway,map01110
2091,Rv0154c,KEGG_pathway,map01130
2092,Rv0154c,KEGG_pathway,map01200
2093,Rv0154c,KEGG_pathway,map01212
2094,Rv0154c,KEGG_pathway,map03320
2097,Rv0155,KEGG_pathway,map00760
2098,Rv0155,KEGG_pathway,map01100
2101,Rv0156,KEGG_pathway,map00760
2102,Rv0156,KEGG_pathway,map01100
2105,Rv0157,KEGG_pathway,map00760
2106,Rv0157,KEGG_pathway,map01100
2120,Rv0162c,KEGG_pathway,map00010
2121,Rv0162c,KEGG_pathway,map00071
2122,Rv0162c,KEGG_pathway,map00350
2123,Rv0162c,KEGG_pathway,map00625
2124,Rv0162c,KEGG_pathway,map00626
2125,Rv0162c,KEGG_pathway,map00830
2126,Rv0162c,KEGG_pathway,map00980
2127,Rv0162c,KEGG_pathway,map00982
2128,Rv0162c,KEGG_pathway,map01100
2129,Rv0162c,KEGG_pathway,map01110
2130,Rv0162c,KEGG_pathway,map01120
2131,Rv0162c,KEGG_pathway,map01130
2132,Rv0162c,KEGG_pathway,map01220
2143,Rv0166,KEGG_pathway,map00061
2144,Rv0166,KEGG_pathway,map00071
2145,Rv0166,KEGG_pathway,map01100
2146,Rv0166,KEGG_pathway,map01212
2147,Rv0166,KEGG_pathway,map02024
2148,Rv0166,KEGG_pathway,map03320
2149,Rv0166,KEGG_pathway,map04146
2150,Rv0166,KEGG_pathway,map04216
2151,Rv0166,KEGG_pathway,map04714
2152,Rv0166,KEGG_pathway,map04920
2154,Rv0167,KEGG_pathway,map02010
2156,Rv0168,KEGG_pathway,map02010
2158,Rv0169,KEGG_pathway,map02010
2160,Rv0170,KEGG_pathway,map02010
2162,Rv0171,KEGG_pathway,map02010
2164,Rv0172,KEGG_pathway,map02010
2166,Rv0173,KEGG_pathway,map02010
2168,Rv0174,KEGG_pathway,map02010
2174,Rv0186,KEGG_pathway,map00460
2175,Rv0186,KEGG_pathway,map00500
2176,Rv0186,KEGG_pathway,map00940
2177,Rv0186,KEGG_pathway,map01100
2178,Rv0186,KEGG_pathway,map01110
2186,Rv0189c,KEGG_pathway,map00290
2187,Rv0189c,KEGG_pathway,map00770
2188,Rv0189c,KEGG_pathway,map01100
2189,Rv0189c,KEGG_pathway,map01110
2190,Rv0189c,KEGG_pathway,map01130
2191,Rv0189c,KEGG_pathway,map01210
2192,Rv0189c,KEGG_pathway,map01230
2194,Rv0194,KEGG_pathway,map02010
2200,Rv0197,KEGG_pathway,map00630
2201,Rv0197,KEGG_pathway,map00680
2202,Rv0197,KEGG_pathway,map01100
2203,Rv0197,KEGG_pathway,map01120
2204,Rv0197,KEGG_pathway,map01200
2209,Rv0198c,KEGG_pathway,map04614
2210,Rv0198c,KEGG_pathway,map04640
2211,Rv0198c,KEGG_pathway,map04974
2212,Rv0198c,KEGG_pathway,map05010
2229,Rv0211,KEGG_pathway,map00010
2230,Rv0211,KEGG_pathway,map00020
2231,Rv0211,KEGG_pathway,map00620
2232,Rv0211,KEGG_pathway,map01100
2233,Rv0211,KEGG_pathway,map01110
2234,Rv0211,KEGG_pathway,map01120
2235,Rv0211,KEGG_pathway,map01130
2236,Rv0211,KEGG_pathway,map03320
2237,Rv0211,KEGG_pathway,map04068
2238,Rv0211,KEGG_pathway,map04151
2239,Rv0211,KEGG_pathway,map04152
2240,Rv0211,KEGG_pathway,map04910
2241,Rv0211,KEGG_pathway,map04920
2242,Rv0211,KEGG_pathway,map04922
2243,Rv0211,KEGG_pathway,map04931
2244,Rv0211,KEGG_pathway,map04964
2255,Rv0214,KEGG_pathway,map00061
2256,Rv0214,KEGG_pathway,map00071
2257,Rv0214,KEGG_pathway,map01100
2258,Rv0214,KEGG_pathway,map01212
2259,Rv0214,KEGG_pathway,map02024
2260,Rv0214,KEGG_pathway,map03320
2261,Rv0214,KEGG_pathway,map04146
2262,Rv0214,KEGG_pathway,map04216
2263,Rv0214,KEGG_pathway,map04714
2264,Rv0214,KEGG_pathway,map04920
2267,Rv0221,KEGG_pathway,map00561
2268,Rv0221,KEGG_pathway,map01100
2287,Rv0222,KEGG_pathway,map00071
2288,Rv0222,KEGG_pathway,map00280
2289,Rv0222,KEGG_pathway,map00281
2290,Rv0222,KEGG_pathway,map00310
2291,Rv0222,KEGG_pathway,map00360
2292,Rv0222,KEGG_pathway,map00362
2293,Rv0222,KEGG_pathway,map00380
2294,Rv0222,KEGG_pathway,map00410
2295,Rv0222,KEGG_pathway,map00627
2296,Rv0222,KEGG_pathway,map00640
2297,Rv0222,KEGG_pathway,map00650
2298,Rv0222,KEGG_pathway,map00903
2299,Rv0222,KEGG_pathway,map00930
2300,Rv0222,KEGG_pathway,map01100
2301,Rv0222,KEGG_pathway,map01110
2302,Rv0222,KEGG_pathway,map01120
2303,Rv0222,KEGG_pathway,map01130
2304,Rv0222,KEGG_pathway,map01212
2324,Rv0223c,KEGG_pathway,map00010
