	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
ERX1101427	152167989	87125072	8217444	17376724	0	0	0	0	0	0	0	0	0	33720823	5608592	119334	57.255847680289705	152167989.0	134791265.0	88.58	17376724.0	11.42	ERX1101427_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	152167989.0	0.0	20-100	58.0	13.597391992842107	97.3432781056205	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	152206984	40406722	152206984	15220698400	261716139	14863436222	2.3472127796711346	0.4517	0.0851	0.4633		
ERX1101428	18752116	7393819	3095173	2418117	0	0	0	0	0	0	0	0	0	5378813	457730	8464	39.42925161085821	18752116.0	16333999.0	87.1	2418117.0	12.9	ERX1101428_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18752116.0	0.0	20-80	59.0	34.695707232491266	78.57713113549427	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass	18759446	5514570	18759446	1500755680	14145520	1478619813	1.4749813907084464	0.461	0.1047	0.4343		
ERX1101429	159832564	40288283	54172991	10579089	0	0	0	0	0	0	0	0	0	52056606	2682721	52874	25.20655490454373	159832564.0	149253475.0	93.38	10579089.0	6.62	ERX1101429_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	159832564.0	0.0	20-100	59.0	5.317069194167701	97.05077598579977	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	159867491	51992278	159867491	15986749100	197654796	15561690915	2.6588156375081917	0.5557	0.0721	0.3722		
ERX1101430	19312369	10863906	1405072	493573	0	0	0	0	0	0	0	0	0	5867432	668258	14128	56.25361652938591	19312369.0	18818796.0	97.44	493573.0	2.56	ERX1101430_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19312369.0	0.0	20-80	63.0	34.09424407753043	78.63556739206878	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	19318490	4668277	19318490	1545479200	15646047	1523131701	1.4459915733579591	0.4339	0.1181	0.4479		
ERX1404043	6439971	1731605	613120	2420951	0	0	0	0	0	0	0	0	0	1459501	210686	4108	26.88839747880852	6439971.0	4019020.0	62.41	2420951.0	37.59	ERX1404043_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6439971.0	0.0	20-96	55.0	42.606531205142616	84.61964782139547	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	6447428	3015348	6447428	618953088	67850082	547701328	11.511657568465026	0.6312	0.0734	0.2954		
ERX1404044	8878622	3182346	909029	2963337	0	0	0	0	0	0	0	0	0	1448520	371337	4053	35.84279182062261	8878622.0	5915285.0	66.62	2963337.0	33.38	ERX1404044_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8878622.0	0.0	20-96	55.0	24.655953596297444	85.60781076162496	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	8886245	4591570	8886245	853079520	83668812	764329993	10.403429565393855	0.5425	0.0911	0.3664		
ERX1404045	4201828	1211504	402075	1595314	0	0	0	0	0	0	0	0	0	842970	147611	2354	28.83278420725456	4201828.0	2606514.0	62.03	1595314.0	37.97	ERX1404045_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4201828.0	0.0	20-96	55.0	48.325031620941246	85.1817456592702	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	4205740	1970701	4205740	403751040	41816657	359718357	10.905899586041933	0.5938	0.0834	0.3228		
ERX1404046	9100744	3119797	909371	3290611	0	0	0	0	0	0	0	0	0	1416704	360115	4146	34.28068078829599	9100744.0	5810133.0	63.84	3290611.0	36.16	ERX1404046_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9100744.0	0.0	20-96	55.0	25.72587550277155	84.71659833525699	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	9109673	4879218	9109673	874528608	93759208	775401452	11.334924334459279	0.5421	0.0922	0.3657		
ERX1776916	568196	117	89887	409334	0	0	0	0	49462	0	0	0	0	19389	7	0	0.020591486036508528	568196.0	158862.0	27.96	409334.0	72.04	ERX1776916_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	568196.0	0.0	20-54	58.0	56.653326080675676	44.86566255306268	pass	pass		pass	fail	fail	pass	warn	warn	warn	pass	13138261	2366177	13138261	709466094	629280476	70697000	90.03518271022547			0.0003	0.847	0.1527
ERX1776917	15178	0	0	15178	0	0	0	0	0	0	0	0	0	0	0	0	0.0	15178.0	0.0	0.0	15178.0	100.0	ERX1776917_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15178.0	0.0	18-54	53.0	74.27197259190935	33.40051390169983	pass	pass		pass	fail	fail	pass	warn	pass	fail	pass	8783954	2599119	8783954	474333516	201084179	269819606	43.11605718369688					
ERX1776918	12242206	14815	5385517	5447307	0	0	0	0	1224863	0	0	0	0	168988	609	107	0.12101577117718815	12242206.0	6794899.0	55.5	5447307.0	44.5	ERX1776918_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12242206.0	0.0	20-54	59.0	61.83736401988455	46.67877570431342	pass	pass		warn	fail	warn	pass	warn	warn	fail	pass	17620491	8317479	17620491	951506514	129832227	673847730	29.18096512369226			0.0636	0.3245	0.6119
ERX1776919	12173086	371537	4746083	6881192	0	0	0	0	91806	0	0	0	0	47095	28823	6550	3.0521184192734694	12173086.0	5291894.0	43.47	6881192.0	56.53	ERX1776919_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12173086.0	0.0	20-54	59.0	91.9462454793821	50.73291390531538	pass	pass		warn	fail	warn	pass	warn	pass	pass	pass	13105818	3805131	13105818	707714172	47650875	646002112	8.71991298769696			0.2745	0.2826	0.4429
ERX1776920	16672189	427437	6595294	9406238	0	0	0	0	142190	0	0	0	0	59793	33157	8080	2.5637725196133507	16672189.0	7265951.0	43.58	9406238.0	56.42	ERX1776920_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16672189.0	0.0	20-54	59.0	94.64992372449821	51.20809355028305	pass	pass		warn	fail	warn	pass	warn	pass	pass	pass	18371641	4923428	18371641	992068614	93726935	881295936	11.165828294211108			0.2549	0.2888	0.4563
ERX1776921	17809671	91641	819308	16362223	0	0	0	0	3337	0	0	0	0	524745	5638	2779	0.5145575120393857	17809671.0	1447448.0	8.13	16362223.0	91.87	ERX1776921_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17809671.0	0.0	20-54	59.0	84.54671330975731	52.960653624651464	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass	18396879	3862876	18396879	993431466	33556233	954827431	3.885928352504993			0.1869	0.2635	0.5496
ERX1776922	11357351	940	333327	10981603	0	0	0	0	4949	0	0	0	0	36434	73	25	0.008276577874541344	11357351.0	375748.0	3.31	10981603.0	96.69	ERX1776922_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11357351.0	0.0	20-54	58.0	45.6757869779634	52.740591886259395	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	11909307	2575028	11909307	643102578	24328023	614709232	4.415057095292813			0.0021	0.0741	0.9238
ERX1776923	21335571	127163	1263310	19919204	0	0	0	0	9312	0	0	0	0	8415	4370	3797	0.5960140462141837	21335571.0	1416367.0	6.64	19919204.0	93.36	ERX1776923_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21335571.0	0.0	20-54	59.0	14.02852376337944	52.373635324782256	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	23376088	4915846	23376088	1262308752	55955056	1199898119	4.944165435050393			0.0474	0.4438	0.5089
ERX1776924	23628691	285383	2449184	20843221	0	0	0	0	11618	0	0	0	0	23407	9975	5903	1.2077816752523447	23628691.0	2785470.0	11.79	20843221.0	88.21	ERX1776924_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23628691.0	0.0	20-54	59.0	23.55626174844596	51.46724285319064	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	26961139	6110384	26961139	1455901506	188255796	1259541571	13.487171638381422			0.0498	0.3662	0.584
ERX1776925	23347902	47230	424055	22654009	0	0	0	0	1522	0	0	0	0	217580	2455	1051	0.2022879828774337	23347902.0	693893.0	2.97	22654009.0	97.03	ERX1776925_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23347902.0	0.0	20-54	59.0	16.28658349114718	51.92270406137562	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	25452385	5100115	25452385	1374428790	65230233	1302601177	5.225997412350479			0.0417	0.299	0.6592
ERX1776926	16252360	145272	1133778	14943620	0	0	0	0	5534	0	0	0	0	11273	5087	7796	0.893851723688129	16252360.0	1308740.0	8.05	14943620.0	91.95	ERX1776926_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16252360.0	0.0	20-54	59.0	18.164068212959585	52.92342509026381	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	16558943	3613271	16558943	894182922	14735249	874714049	2.1772807913233665			0.057999999999999996	0.4363	0.5057
ERX1776927	24837996	86538	5267050	19433554	0	0	0	0	12246	0	0	0	0	33183	3144	2281	0.3484097509315969	24837996.0	5404442.0	21.76	19433554.0	78.24	ERX1776927_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24837996.0	0.0	20-54	59.0	9.234964394869637	52.75365271014618	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	25766495	5824558	25766495	1391390730	26891491	1356822975	2.4844031410213576			0.0144	0.4627	0.5229
ERX1776928	20766904	34874	2204796	18500818	0	0	0	0	10963	0	0	0	0	13608	1190	655	0.1679306650620622	20766904.0	2266086.0	10.91	18500818.0	89.09	ERX1776928_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20766904.0	0.0	20-54	58.0	14.004730825082385	51.982771529160054	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	21658292	4545353	21658292	1169547768	41121620	1122458043	4.026319085754522			0.0119	0.4464	0.5418
ERX1818308	15961680	11270162	93246	1021327	0	0	0	0	68327	0	0	0	0	2692468	499499	316651	70.60761774449806	15961680.0	14940353.0	93.6	1021327.0	6.4	ERX1818308_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15961680.0	0.0	20-51	64.0	34.95881691542656	49.70939832147994	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	16353060	597469	16353060	834006060	8633254	824480328	1.142165801529068			0.5079	0.249	0.243
