locus,gene_weight,gene_name,gene_product,COG,operon,regulator,whiB4,ideR,link
Rv2466c,0.22248263040000002,Rv2466c,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op1561,"Rv0135c,sigL,mprA,mprB,Rv1353c,Rv1816,devR,sigH,Rv3249c,whiB4,Copper Induced,HPT-2b Induced",True,False,https://mycobrowser.epfl.ch/genes/Rv2466c
Rv3463,0.1732866437,Rv3463,hypothetical protein,Energy production and conversion,Op2168,"ssb,Rv0135c,csoR,Rv1353c,Rv1816,lysG,Rv2011c,whiB1,sigH,whiB4,espR,Copper Induced,HPT-2b Induced",True,False,https://mycobrowser.epfl.ch/genes/Rv3463
Rv1528c,0.1661006363,papA4,polyketide synthase associated protein PapA,"Secondary metabolites biosynthesis, transport, and catabolism",Op977,"Rv0023,Rv0678,Rv0818,mprA,mprB,kstR",False,False,https://mycobrowser.epfl.ch/genes/Rv1528c
Rv3054c,0.16499500250000002,Rv3054c,hypothetical protein,Function unknown,Op1915,"Rv0081,mprA,mprB,sigH,Rv3249c,whiB4,HPT-2b Induced",True,False,https://mycobrowser.epfl.ch/genes/Rv3054c
Rv0140,0.13612688480000001,Rv0140,hypothetical protein,Function unknown,Op100,"Rv0302,mprA,mprB,Rv1816,Rv2250c,sigH,whiB4,Copper Induced,HPT-2b Induced",True,False,https://mycobrowser.epfl.ch/genes/Rv0140
Rv1471,0.11345457140000001,trxB1,thioredoxin,"Post-translational modification, protein turnover,and chaperones",Op943,"Rv0023,csoR,mprA,mprB,Rv1776c,Rv2324,whiB4,Copper Induced",True,False,https://mycobrowser.epfl.ch/genes/Rv1471
Rv3839,0.09518655720000001,Rv3839,hypothetical protein,Function unknown,Op2403,"sigK,mprA,mprB,Rv1353c,mbcA,Rv2175,Rv2324,devR,ideR",False,True,https://mycobrowser.epfl.ch/genes/Rv3839
Rv3840,0.09277837800000001,Rv3840,transcriptional regulator,Transcription,Op2403,"Rv0135c,Rv0324,mprA,mprB,trcR,Rv1353c,mbcA,Rv2034,Rv2324,ideR",False,True,https://mycobrowser.epfl.ch/genes/Rv3840
Rv2398c,0.0907208577,cysW,sulfate ABC transporter permease CysW,Inorganic ion transport and metabolism,Op1516,"Rv0081,Rv0324,Rv1473A,sigH,kstR,lsr2,whiB4",True,False,https://mycobrowser.epfl.ch/genes/Rv2398c
Rv1909c,0.0824044042,furA,ferric uptake regulation protein FurA,Inorganic ion transport and metabolism,Op1198,"Rv0023,Rv0302,Rv0324,csoR,Rv1353c,Rv2989,devR,Rv3249c,Rv3488,whiB4,HPT-2b Induced",True,False,https://mycobrowser.epfl.ch/genes/Rv1909c
Rv0142,0.0793844233,Rv0142,hypothetical protein,"Replication, recombination and repair",Op102,"Rv0047c,sigH",False,False,https://mycobrowser.epfl.ch/genes/Rv0142
Rv2399c,0.0790816944,cysT,sulfate ABC transporter permease CysT,"Post-translational modification, protein turnover,and chaperones",Op1516,"Rv0081,csoR,Rv1219c,Rv1473A,sigH,lsr2,whiB4",True,False,https://mycobrowser.epfl.ch/genes/Rv2399c
Rv2123,0.07706254080000001,PPE37,PPE family protein PPE37,Cell motility,Op1328,"sigK,phoP,mprA,mprB,Rv1049,sigI,Rv2175,tcrX,ideR",False,True,https://mycobrowser.epfl.ch/genes/Rv2123
Rv0816c,0.074996059,thiX,thioredoxin ThiX,Energy production and conversion,Op523,"Rv0494,Rv1719,Rv1776c,sigH,Rv3736",False,False,https://mycobrowser.epfl.ch/genes/Rv0816c
Rv1673c,0.0749217584,Rv1673c,hypothetical protein,Amino acid transport and metabolism,Op1052,"Rv0081,Rv0324,Rv1674c,cmtR,Rv2324,kstR,lsr2,whiB4,HPT-2b Induced",True,False,https://mycobrowser.epfl.ch/genes/Rv1673c
Rv3862c,-0.0775783656,whiB6,transcriptional regulator WhiB6,Function unknown,Op2419,"Rv0023,Rv0081,Rv0135c,Rv0195,Rv0328,phoP,mprA,mprB,trcR,Rv1049,Rv1353c,marR,Rv2011c,sigH,whiB4,tcrX,whiB6,espL",True,False,https://mycobrowser.epfl.ch/genes/Rv3862c
