locus,gene_weight,gene_name,gene_product,COG,operon,regulator,lsr2,link
Rv3378c,0.1044380184,Rv3378c,diterpene synthase,Function unknown,Op2117,"Rv0023,Rv0042c,Rv0047c,Rv0081,Rv0273c,Rv0465c,Rv0880,trcR,Rv1353c,marR,Rv2034,lsr2,vapC48",True,https://mycobrowser.epfl.ch/genes/Rv3378c
Rv2492,0.1000133024,Rv2492,hypothetical protein,No COG annotation,Op1576,"Rv0047c,Rv0081,Rv0324,trcR,Rv1816,lysG,Rv3488,kstR,lsr2,Rv3830c,espR",True,https://mycobrowser.epfl.ch/genes/Rv2492
Rv1505c,0.0936636275,Rv1505c,hypothetical protein,Function unknown,Op962,"Rv0047c,Rv0081,Rv1255c,Rv2011c,Rv2989,devR,mtrA,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1505c
Rv3528c,0.0936397549,Rv3528c,hypothetical protein,No COG annotation,Op2208,"Rv0023,Rv0047c,Rv0081,Rv0576,trcR,Rv1219c,Rv1255c,lysG,cmtR,Rv2324,kstR,Rv3579c,lsr2,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv3528c
Rv3426,0.09000017440000001,PPE58,PPE family protein PPE58,Cell motility,Op2146,"Rv0081,Rv0135c,Rv0324,Rv0678,trcR,whiA,Rv2912c,kstR",False,https://mycobrowser.epfl.ch/genes/Rv3426
Rv0404,0.0882808607,fadD30,long-chain-fatty-acid--AMP ligase FadD30,Nucleotide transport and metabolism,Op273,"Rv0047c,Rv0135c,Rv0158,Rv0324,Rv0653c,Rv0678,trcR,Rv1353c,whiA,Rv1776c,Rv1816,Rv2011c,Rv2034,Rv2250c,Rv2989,devR,mtrA,Rv3405c,kstR,espR",False,https://mycobrowser.epfl.ch/genes/Rv0404
Rv1501,0.0840076599,Rv1501,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op960,"Rv0081,tcrA,csoR,Rv1255c,lysG",False,https://mycobrowser.epfl.ch/genes/Rv1501
Rv3425,0.08294036190000001,PPE57,PPE family protein PPE57,Cell motility,Op2145,"Rv0135c,Rv0328,Rv1816,sigH",False,https://mycobrowser.epfl.ch/genes/Rv3425
Rv2959c,0.0826758913,Rv2959c,rhamnosyl O-methyltransferase,Defense mechanisms,Op1851,"Rv0081,Rv0135c,Rv0328,Rv0465c,Rv0678,Rv0880,trcR,Rv1473A,lysG,Rv2912c,sigH,mtrA,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv2959c
Rv1507c,0.0824627485,Rv1507c,hypothetical protein,Energy production and conversion,Op963,"Rv0678,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv1507c
Rv1507A,0.0821430597,Rv1507A,hypothetical protein,No COG annotation,Op964,"Rv0047c,Rv0081,Rv0324,devR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1507A
Rv0986,0.0817646313,Rv0986,adhesion component ABC transporter ATP-binding protein,Defense mechanisms,Op639,"Rv0081,Rv0324,Rv0767c,trcR,devR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv0986
Rv0988,0.08150931580000001,Rv0988,hypothetical protein,Function unknown,Op639,"Rv0047c,Rv0081,Rv0135c,Rv0158,nadR,Rv0273c,Rv0465c,Rv0653c,Rv0767c,trcR,sigI,Rv1353c,Rv1626,Rv1816,Rv2034,bkaR,Rv2887,lsr2,ethR,Copper Induced",True,https://mycobrowser.epfl.ch/genes/Rv0988
Rv1948c,0.078890256,Rv1948c,hypothetical protein,No COG annotation,Op1224,"Rv0023,Rv0047c,Rv0324,marR,Rv1816,Rv2250c,Rv3488,kstR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1948c
Rv3424c,0.0768429789,Rv3424c,hypothetical protein,No COG annotation,Op2144,"Rv0047c,cmtR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv3424c
Rv2928,0.07581229490000001,tesA,thioesterase TesA,"Secondary metabolites biosynthesis, transport, and catabolism",Op1839,"Rv0324,trcR,Rv1719,lsr2,Rv3830c,espR",True,https://mycobrowser.epfl.ch/genes/Rv2928
Rv3429,0.07493654670000001,PPE59,PPE family protein PPE59,Cell motility,Op2149,Rv0465c,False,https://mycobrowser.epfl.ch/genes/Rv3429
Rv0987,0.0733686365,Rv0987,adhesion component ABC transporter permease,Defense mechanisms,Op639,"Rv0047c,Rv0081,Rv0135c,Rv0273c,Rv0324,Rv0576,tcrA,phoP,Rv0880,Rv0891c,trcR,Rv1186c,Rv1255c,Rv1353c,Rv1816,lysG,Rv2011c,Rv2034,sigC,zur,bkaR,pimA,sigA,Rv2887,Rv2989,Rv3050c,mtrA,Rv3405c,sigD,kstR,lsr2,whiB4,tcrX,Rv3830c,ethR",True,https://mycobrowser.epfl.ch/genes/Rv0987
Rv0112,0.0709281277,gca,GDP-mannose 4%2C6-dehydratase,Carbohydrate transport and metabolism,Op76,"Rv0081,Rv0328,Rv1353c,Rv1719,Rv1776c,Rv3050c,mtrA,Rv3488,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv0112
Rv1502,0.0697459258,Rv1502,hypothetical protein,Carbohydrate transport and metabolism,Op961,"Rv0081,Rv0324,hspR,trcR,Rv1353c,Rv1719,Rv1816,higA,sigC,groEL1,espR",False,https://mycobrowser.epfl.ch/genes/Rv1502
Rv3377c,0.0696720882,Rv3377c,type B diterpene cyclase,Lipid transport and metabolism,Op2117,"Rv0023,Rv0047c,Rv0324,Rv0465c,trcR,Rv1353c,Rv1473A,Rv1816,Rv2011c,Rv2034,Rv2250c,bkaR,Rv3249c,Rv3488,espR",False,https://mycobrowser.epfl.ch/genes/Rv3377c
Rv0113,0.0689520067,gmhA,phosphoheptose isomerase,Carbohydrate transport and metabolism,Op77,"Rv0135c,Rv0328,csoR,Rv1353c,Rv1816,mbcA,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv0113
Rv2808,0.06790559560000001,Rv2808,hypothetical protein,No COG annotation,Op1774,"Rv0023,Rv0047c,Rv0324,Rv1353c,Rv1816,lysG,kstR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv2808
Rv2107,0.06741665620000001,PE22,PE family protein PE22,Lipid transport and metabolism,Op1317,"Rv0324,Rv0678,mprA,mprB,Rv1719",False,https://mycobrowser.epfl.ch/genes/Rv2107
Rv2307B,0.0674068256,Rv2307B,hypothetical protein,No COG annotation,Op1452,"Rv0023,Rv0047c,Rv0135c,Rv0474",False,https://mycobrowser.epfl.ch/genes/Rv2307B
Rv3109,0.0667839729,moaA1,cyclic pyranopterin monophosphate synthase,Coenzyme transport and metabolism,Op1950,"Rv0023,Rv0273c,Rv0328,Rv0465c,trcR,Rv2642,Rv2887,mtrA,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv3109
Rv2108,0.0662140007,PPE36,PPE family protein PPE36,Cell motility,Op1318,"Rv0302,Rv0324,mprA,mprB,Rv1353c,Rv1776c,Rv2021c",False,https://mycobrowser.epfl.ch/genes/Rv2108
Rv2949c,0.0660023348,Rv2949c,chorismate pyruvate-lyase,Coenzyme transport and metabolism,Op1846,"Rv0023,Rv0081,nadR,Rv0273c,Rv0302,Rv0465c,Rv0678,Rv0880,trcR,Rv2989,devR,lsr2,tcrX,espR,PDIM;PGL Synthesis",True,https://mycobrowser.epfl.ch/genes/Rv2949c
Rv0455c,0.0646781096,Rv0455c,hypothetical protein,Function unknown,Op301,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0678,trcR,devR,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv0455c
Rv2491,0.0634093307,Rv2491,hypothetical protein,Function unknown,Op1576,"Rv0081,Rv0324,espR",False,https://mycobrowser.epfl.ch/genes/Rv2491
Rv1500,0.062098982600000005,Rv1500,glycosyltransferase,Cell wall/membrane/envelope biogenesis,Op960,"Rv0023,Rv0047c,Rv0081,tcrA,trcR,Rv1049,sigI,Rv1473A,Rv1816,Rv2250c,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1500
