locus_tag,gene_name,accession,old_locus_tag,start,stop,strand,gene_product,COG,uniprot,operon
Rv0001,dnaA,NC_000962.3,,1,1524,+,chromosomal replication initiator protein DnaA,"Replication, recombination and repair",P9WNW3,Op1
Rv0002,dnaN,NC_000962.3,,2052,3260,+,DNA polymerase III subunit beta,"Replication, recombination and repair",P9WNU1,Op2
Rv0003,recF,NC_000962.3,,3280,4437,+,DNA replication/repair protein RecF,"Replication, recombination and repair",P9WHI9,Op2
Rv0004,Rv0004,NC_000962.3,,4434,4997,+,hypothetical protein,Function unknown,P9WFL1,Op2
Rv0005,gyrB,NC_000962.3,,5240,7267,+,DNA gyrase subunit B,"Replication, recombination and repair",P9WG45,Op3
Rv0006,gyrA,NC_000962.3,,7302,9818,+,DNA gyrase subunit A,"Replication, recombination and repair",P9WG47,Op3
Rv0007,Rv0007,NC_000962.3,,9914,10828,+,membrane protein,Function unknown,P9WMA7,Op4
Rv0008c,Rv0008c,NC_000962.3,,11874,12311,-,cell wall synthesis protein CwsA,"Cell cycle control, cell division, chromosome partitioning",P9WJF3,Op5
Rv0009,ppiA,NC_000962.3,,12468,13016,+,iron-regulated peptidyl-prolyl cis-trans isomerase PpiA,"Post-translational modification, protein turnover,and chaperones",P9WHW3,Op6
Rv0010c,Rv0010c,NC_000962.3,,13133,13558,-,membrane protein,Function unknown,P9WMA3,Op7
Rv0011c,Rv0011c,NC_000962.3,,13714,13995,-,cell division protein CrgA,"Cell cycle control, cell division, chromosome partitioning",P9WP57,Op8
Rv0012,Rv0012,NC_000962.3,,14089,14877,+,membrane protein,Function unknown,L0T243,Op9
Rv0013,trpG,NC_000962.3,,14914,15612,+,anthranilate synthase component II,Amino acid transport and metabolism,P9WN35,Op9
Rv0014c,pknB,NC_000962.3,,15590,17470,-,serine/threonine-protein kinase PknB,Transcription,P9WI81,Op10
Rv0015c,pknA,NC_000962.3,,17467,18762,-,serine/threonine-protein kinase PknA,Transcription,P9WI83,Op10
Rv0016c,pbpA,NC_000962.3,,18759,20234,-,penicillin-binding protein PbpA,Cell wall/membrane/envelope biogenesis,P9WKD1,Op10
Rv0017c,rodA,NC_000962.3,,20231,21640,-,cell division protein RodA,"Cell cycle control, cell division, chromosome partitioning",P9WN99,Op10
Rv0018c,pstP,NC_000962.3,,21637,23181,-,phosphoserine/threonine phosphatase PstP,Signal transduction mechanisms,P9WHW5,Op10
Rv0019c,fhaB,NC_000962.3,,23270,23737,-,FHA domain-containing protein FhaB,Signal transduction mechanisms,P9WJB5,Op11
