locus,gene_weight,gene_name,gene_product,COG,operon,regulator,devR,link
Rv3130c,0.3228377743,tgs1,diacyglycerol O-acyltransferase,Lipid transport and metabolism,Op1959,"Rv0328,tcrA,sigH,sigM",False,https://mycobrowser.epfl.ch/genes/Rv3130c
Rv1738,0.3093354446,Rv1738,hypothetical protein,Function unknown,Op1085,"Rv0047c,Rv0328,csoR,mprA,mprB,sigH",False,https://mycobrowser.epfl.ch/genes/Rv1738
Rv3131,0.2977950613,Rv3131,NAD(P)H nitroreductase,Energy production and conversion,Op1960,"Rv0328,tcrA,sigH,sigM",False,https://mycobrowser.epfl.ch/genes/Rv3131
Rv2031c,0.2946886671,hspX,alpha-crystallin,"Post-translational modification, protein turnover,and chaperones",Op1274,"Rv0328,sigK,Rv0767c,Rv2250c,sigH",False,https://mycobrowser.epfl.ch/genes/Rv2031c
Rv2032,0.240727935,acg,NAD(P)H nitroreductase,Energy production and conversion,Op1275,"Rv0678,Rv0767c,mprA,mprB,sigH",False,https://mycobrowser.epfl.ch/genes/Rv2032
Rv2007c,0.2078965469,fdxA,ferredoxin,Energy production and conversion,Op1262,"Rv0328,mprA,mprB,Acid Shock",False,https://mycobrowser.epfl.ch/genes/Rv2007c
Rv2626c,0.2075172519,hrp1,hypoxic response protein,Function unknown,Op1655,"Rv0485,senX3,regX3,whiA,Rv1776c,sigH",False,https://mycobrowser.epfl.ch/genes/Rv2626c
Rv2030c,0.2020890112,Rv2030c,hypothetical protein,Function unknown,Op1274,"Rv0678,Rv0767c,mprA,mprB,clgR,devR",True,https://mycobrowser.epfl.ch/genes/Rv2030c
Rv3127,0.2008201614,Rv3127,hypothetical protein,Energy production and conversion,Op1958,sigH,False,https://mycobrowser.epfl.ch/genes/Rv3127
Rv1733c,0.2008109099,Rv1733c,transmembrane protein,No COG annotation,Op1080,"fhaB,fhaA,Rv0042c,Rv0135c,Rv0158,mce1R,Rv0195,Rv0260c,hspR,Rv0472c,phoY2,narL,mprA,mprB,Rv1176c,embR,Rv1353c,Rv1359,marR,Rv1674c,Rv1719,Rv1773c,Rv2011c,vapB42,Rv3058c,devR,sigH",True,https://mycobrowser.epfl.ch/genes/Rv1733c
Rv0079,0.19004870440000002,Rv0079,hypothetical protein,"Translation, ribosomal structure and biogenesis",Op56,"csoR,mprA,mprB,trcR,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv0079
Rv2627c,0.1817966549,Rv2627c,hypothetical protein,Function unknown,Op1656,devR,True,https://mycobrowser.epfl.ch/genes/Rv2627c
Rv1737c,0.16606686040000002,narK2,nitrate/nitrite transporter,Inorganic ion transport and metabolism,Op1084,"Rv0047c,csoR,mprA,mprB,devR",True,https://mycobrowser.epfl.ch/genes/Rv1737c
Rv2623,0.1600240296,TB31.7,universal stress protein,Signal transduction mechanisms,Op1653,"mprA,mprB,Rv1353c,sigH",False,https://mycobrowser.epfl.ch/genes/Rv2623
Rv1996,0.1585220379,Rv1996,universal stress protein,Signal transduction mechanisms,Op1253,"Rv0047c,Rv0081,senX3,regX3,Rv0678,csoR,whiA,Rv1816,mbcA,Rv2011c,Rv2989,sigH,Rv3249c,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1996
Rv1813c,0.1518453116,Rv1813c,hypothetical protein,Function unknown,Op1141,"Rv0081,Rv1353c,lysG,Rv2034,devR,sigH,lsr2,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv1813c
Rv0080,0.1454984658,Rv0080,hypothetical protein,Transcription,Op56,"Rv0081,csoR,mprA,mprB,trcR,mbcA,cmtR,devR,sigH,Rv3249c,kstR",True,https://mycobrowser.epfl.ch/genes/Rv0080
Rv3134c,0.1094781913,Rv3134c,universal stress protein,Signal transduction mechanisms,Op1961,"phoP,Rv0767c,trcR,Rv1353c,Rv1473A,Rv2034,Rv3066,Rv3249c,sigM",False,https://mycobrowser.epfl.ch/genes/Rv3134c
Rv2628,0.0840544208,Rv2628,hypothetical protein,No COG annotation,Op1657,"Rv0023,Rv0767c,Rv1816",False,https://mycobrowser.epfl.ch/genes/Rv2628
Rv1997,0.0681561175,ctpF,cation transporter ATPase F,Inorganic ion transport and metabolism,Op1254,"Rv0324,Rv1473A,Rv1776c,Rv2034,Rv3488",False,https://mycobrowser.epfl.ch/genes/Rv1997
Rv1736c,0.0550031016,narX,nitrate reductase-like protein NarX,Energy production and conversion,Op1084,"Rv0047c,csoR,mprA,mprB,Rv1219c,Rv1776c,devR,kstR",True,https://mycobrowser.epfl.ch/genes/Rv1736c
Rv0569,0.0471761818,Rv0569,hypothetical protein,Signal transduction mechanisms,Op376,"Rv0047c,Rv0324,mprA,mprB,Rv1353c",False,https://mycobrowser.epfl.ch/genes/Rv0569
