k,Name,in_iM,gene_weight,Regulator,Function,Category
13,SG_1,False,0.039841530300000004,,Single Gene iModulon 1,Single Gene
71,PDIM;PGL Synthesis,False,-0.0347783369,,Manually annotated iModulon that captures genes associated with PDIM and PGL synthesis,Virulence/Persistence
44,SG_6,False,-0.031108549500000002,,Single Genes iModulon 6,Single Gene
27,Unc_2,False,0.027566618100000002,,Uncharacterized iModulon 2,Uncharacterized
65,SG_10,False,-0.025398885200000002,,Single Gene iModulon 10,Single Gene
61,Nucleic Acid Hydrolysis ,False,-0.0251186971,,iModulon enriched with the Nucleic Acid Hydrolysis KEGG pathway,Nucleic Acids
45,SigD,False,-0.0250423312,sigD,Sigma Factor that governs the expression of ribosomal genes and plays a role in virulence,Virulence/Persistence
46,Rv2621c,False,0.0250392171,Rv2621c,iModulon labeled with predicted regulon with unknown function,Unknown Function
64,Mce1R,False,0.0240766349,mce1R,Transcription factor that regulates the mce1 virulence operon,Virulence/Persistence
53,Rv1776c+WhiB4,False,-0.023183256500000003,Rv1776c and whiB4 ,iModulon that maps to the intersection of the Rv1776c and Rv3681c regulon,Redox
79,WhiB4/IdeR,False,0.021678512900000002,whiB4 or ideR,iModulon that maps to the union of the Rv3681c and Rv2711 regulons,Redox
57,SG_8,False,0.0213770057,,Single Gene iModulon 8,Single Gene
43,LysG,False,-0.0208436801,lsyG,Transcription factor that controls the expression of LysE and requires lysine or histidine for activation ,Amino Acids
68,Sulfur Metabolism,False,0.020840702500000002,,Kegg Map that displays the transport and metabolism of sulfur,Sulfur Metabolism
18,Unc_1,False,0.0200854154,,Uncharacterized iModulon 1,Uncharacterized
55,WhiB7,False,-0.0193696724,whiB7,Transcription factor that connects systems for redox homeostasis and antibiotic resistance,Antibiotic
2,IniR,False,0.0181388015,iniR,Transcription factor that regulates the expression of the ini operon (iniBAC),Antibiotic
7,GroEL-GroES Complex,False,-0.0180429772,,Gene Ontology Term specific to the bacterial chaperonin complex,Amino Acids
11,EccE1 KO,False,-0.017629109400000002,,Single Gene iModulon that captures EccE1 knockout,KO
37,Rv3095,False,-0.0173449236,Rv3095,iModulon labeled with predicted regulon with unknown function,Unknown Function
39,SigC,False,-0.0169074708,sigC,Sigma Factor that plays a role in organism virulence and lethality,Virulence/Persistence
29,Blal,False,0.0166121928,blaI,"Transcription regulator that regulates genes associated with antibiotic transport, detoxification, and cell wall function",Antibiotic
14,SG_2,False,-0.0162765289,,Single Gene iModulon 2,Single Gene
9,SigK,False,-0.016272948500000002,sigK,Sigma Factor involved in the production of antigenic proteins,Unknown Function
56,Fatty Acid Biosynthesis,False,0.0161292075,trcR and Rv1776c and whiB4 ,"iModulon that maps to the intersection of the Rv1033c, Rv1776c, and Rv3681c regulons",Fatty Acid/Cholestrol
12,Mycofactocin Synthesis Pathway,False,-0.0150524335,,Manually annotated iModulon that captures multiple genes associated with mycofactocin metabolism,Fatty Acid/Cholestrol
17,VirS,False,-0.0147762294,virS,Transcription factor that is activated and responds to acidic environments,Redox
10,RicR,False,-0.014730472900000001,ricR,Copper responsive transcription factor that regulates metal metabolism genes,Metal Related
35,Unc_4,False,-0.0145928572,,Uncharacterized iModulon 4,Uncharacterized
75,Unc_9,False,-0.0145120638,,Uncharacterized iModulon 9,Uncharacterized
49,Rv1828/SigH,False,-0.0144398804,Rv1828 or sigH,iModulon that maps to the union of the Rv1828 and Rv3223c regulons,Redox
59,Rv0576,False,-0.014376969500000001,Rv0576,Possible ArsR family transcription factor that regulates genes related to virulence,Virulence/Persistence
21,MprA,False,0.014294878,mprA,Transcription factor that regulates multiple stress responsive genes,Virulence/Persistence
26,EspL KO,False,0.0141790708,,Single Gene iModulon that captures EspL knockout,KO
77,Central Carbon Metabolism,False,-0.0139612829,,iModulon enriched with the Central Carbon Metabolism KEGG pathway,Central Carbon
0,SigH,False,0.0139117378,sigH,Sigma Factor involved in heat shock and oxidative stress response,Virulence/Persistence
38,SG_5,False,0.0136225766,,Single Gene iModulon 5,Single Gene
41,Unc_5,False,-0.0134844075,,Uncharacterized iModulon 5,Uncharacterized
60,Rv0681,False,-0.0100265692,Rv0681,"Transcription with previously unknown function, regulates core fatty acid response",Unknown Function
58,Zur,False,0.0097224172,zur,Transcription factor that is activated by and regulates the metabolism of zinc,Metal Related
22,SG_3,False,-0.009495396000000001,,Single Gene iModulon 3,Single Gene
4,WhiB4,False,-0.009221034500000001,whiB4,Redox-Responsive transcription regulator that regulates protection response during infection,Redox
15,BkaR,False,-0.0088403221,bkaR,Transcription factor that regulates genes related to branched-chain keto-acid metabolism,Central Carbon
30,HPT-2b Induced,False,0.0083362301,,iModulon regulates many genes that are activated by HPT-2b (1-hydroxy-5-R-pyridine-2(1H)-thiones),Metal Related
3,PyrR,False,0.0079278265,pyrR,Transcription factor that regulates the expression of pyrimidine nucleotide operons,Nucleic Acids
28,WhiB1,False,-0.0076700122,whiB1,"Transcription repressor that is redox responsive, found to be nitric oxide sensitive",Redox
47,SG_7,False,0.0076096577,,Single Gene iModulon 7,Single Gene
50,Unc_6,False,0.007281717500000001,,Uncharacterized iModulon 6,Uncharacterized
24,Salicylate Induced,False,0.0070459136,,Manually annotated iModulon where genes were found to change expression when exposed to salicylate,Metal Related
76,SG_13,False,-0.0067970149,,Single Gene iModulon 13,Single Gene
25,Rv0078+Rv2034,False,0.0067385152000000005,Rv0078 and Rv2034,iModulon that maps to the intersection of the Rv0078 and Rv2034 regulon,Antibiotic
63,SG_9,False,-0.0067383913,,Single Gene iModulon 9,Single Gene
67,Peptidoglycan Biosynthesis,False,-0.0067300346,,iModulon enriched with the Peptidoglycan biosyntehsis KEGG pathway,Central Carbon
62,Rv2488c,False,-0.0058577341,Rv2488c,LuxR family transcription factor that regulates genes associated with virulence,Virulence/Persistence
36,Fumarate Reductase,False,-0.005684062,,iModulon enriched with the Fumarate Reductase Gene Ontology term,Central Carbon
20,FasR,False,-0.0054594216,fasR,Transcription factor that controls the expression of fatty acid metabolism genes,Fatty Acid/Cholestrol
73,SG_11,False,0.0042445563000000006,,Single Gene iModulon 11,Single Gene
52,DevR-2,False,0.0040405645000000006,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox
23,PrpR,False,0.0040258108,prpR,Transcription factor that is involved in catabolism of short chain fatty acids via gloxylate and methylcitrate cycle,Central Carbon
66,M-box,False,0.0038649186,,Magnesium activated non-coding sRNA that regulates the function of genes associated with metal metabolism and virulence,Metal Related
1,Polyketide Synthase Complex,False,0.0036606988000000003,,KEGG Map related to the synthesis of type II polyketide backbone ,Fatty Acid/Cholestrol
32,Unc_3,False,-0.0033415048,,Uncharacterized iModulon 3,Uncharacterized
69,Rv0135+Rv1019,False,-0.003341016,Rv0135c and Rv1019,iModulon that maps to the intersection of the Rv0135c and Rv1019 regulons,Nucleic Acids
42,Nicotinate Metabolism,False,-0.0029077902,,iModulon enriched with the nicotinate and nicotinamide metabolism KEGG pathway,Central Carbon
78,Positive Regulation of Growth,False,0.0028768080000000002,,iModulon enriched with the Positive Regulation of Growth Gene Ontology term,Growth
5,DevR-1,False,0.0026396858,devR,Transcription factor that is one of the primary regulators of hypoxia onset response,Redox
34,MbcA+Rv3249c+Rv3066,False,0.002585757,mbcA and Rv3249c and Rv3066,"iModulon that maps to the intersection of the Rv1990c, Rv3249c, and Rv3066 regulons",Virulence/Persistence
8,IdeR,False,0.0022880125,ideR,Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism,Metal Related
16,Mce3R,False,0.0020664147,mce3R,Transcription factor that regulates the mce3 virulence operon,Virulence/Persistence
48,Leucine Related,False,0.0020067774,,Manually annotated iModulon with gene related to leucine metabolism,Amino Acids
74,SG_12,False,0.0019835394,,Single Gene iModulon 12,Single Gene
6,MarR,False,0.0016629633,marR,Transcription factor that regulates the response to acid stress,Acid Stress
54,Unc_7,False,-0.0016015040000000001,,Uncharacterized iModulon 7,Uncharacterized
51,PhoP,False,0.0015353701000000001,phoP,"Transcription factor that controls response to redox/acid stress, hypoxia, and virulence",Virulence/Persistence
19,WhiB6,False,-0.0014855081,whiB6,Transcription factor that regulates ESX-1 system membrane transport proteins,Redox
72,Unc_8,False,0.0007750508000000001,,Uncharacterized iModulon 8,Uncharacterized
40,KstR2,False,-0.0006901837,kstR2,Transcription factor that regulates a small regulon related to cholesterol utilization,Fatty Acid/Cholestrol
31,ArgR,False,-0.0002997454,argR,Transcription factor that regulates the L-arginine biosynthesis pathways,Amino Acids
70,Lsr2,False,-0.0001261733,lsr2,Sequence independent transcription factor that controls a wide variety of genes,Antibiotic
33,SG_4,False,-5.2488800000000005e-05,,Single Gene iModulon 4,Single Gene
