locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rv1828,sigH,link
Rv2150c,0.1149267028,ftsZ,cell division protein FtsZ,"Cell cycle control, cell division, chromosome partitioning",Op1348,"vapB27,csoR,Rv2642,sigH,Rv3249c,whiB2,Rv3736",False,True,https://mycobrowser.epfl.ch/genes/Rv2150c
Rv2147c,0.1089694048,Rv2147c,cell division protein SepF,"Cell cycle control, cell division, chromosome partitioning",Op1348,"Rv0081,Rv0135c,Rv0324,mbcA,devR,sigH,lsr2",False,True,https://mycobrowser.epfl.ch/genes/Rv2147c
Rv1697,0.1064888501,Rv1697,hypothetical protein,Function unknown,Op1062,"Rv0302,Rv0324,csoR,cmr,sigH,Rv3249c,kstR,Rv3736",False,True,https://mycobrowser.epfl.ch/genes/Rv1697
Rv1698,0.09980125150000001,mctB,copper transporter MctB,Function unknown,Op1062,"Rv0302,csoR,cmr,Rv1776c,sigH,Rv3736",False,True,https://mycobrowser.epfl.ch/genes/Rv1698
Rv2033c,0.0977896741,Rv2033c,hypothetical protein,Function unknown,Op1276,"Rv0023,Rv0576,csoR,Rv1353c,Rv2034,devR,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv2033c
Rv3587c,0.0964595089,Rv3587c,membrane protein,No COG annotation,Op2239,"Rv0047c,senX3,regX3,Rv1255c,Rv1816,Rv2021c,Rv2324,bkaR,sigH,Rv3249c",False,True,https://mycobrowser.epfl.ch/genes/Rv3587c
Rv3209,0.095317021,Rv3209,hypothetical protein,No COG annotation,Op2011,"Rv0691c,Rv1353c,Rv1776c,Rv2250c,Rv2324,sigH,Rv3249c",False,True,https://mycobrowser.epfl.ch/genes/Rv3209
Rv0996,0.0943757388,Rv0996,transmembrane protein,No COG annotation,Op647,"Rv0023,csoR,mbcA,Rv2887,whiB1,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv0996
Rv2748c,0.09152919400000001,ftsK,DNA translocase FtsK,"Cell cycle control, cell division, chromosome partitioning",Op1738,"Rv0302,Rv0678,csoR,Rv1816,mbcA,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv2748c
Rv0519c,0.0905428211,Rv0519c,membrane protein,Function unknown,Op345,"Rv0081,Rv0135c,Rv0275c,Rv1353c,mbcA,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv0519c
Rv1252c,0.0904332978,lprE,lipoprotein LprE,Function unknown,Op822,"senX3,regX3,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv1252c
Rv3005c,0.088912006,Rv3005c,hypothetical protein,Function unknown,Op1885,"Rv0691c,csoR,devR,sigH,Rv3249c",False,True,https://mycobrowser.epfl.ch/genes/Rv3005c
Rv0430,0.0882021456,Rv0430,hypothetical protein,Function unknown,Op288,"Rv0302,senX3,regX3,Rv1719,sigH,lsr2",False,True,https://mycobrowser.epfl.ch/genes/Rv0430
Rv2927c,0.0880278612,Rv2927c,hypothetical protein,No COG annotation,Op1838,"Rv0273c,Rv0678,sigE,sigH,Rv3488,lsr2",False,True,https://mycobrowser.epfl.ch/genes/Rv2927c
Rv0129c,0.0875577522,fbpC,diacylglycerol acyltransferase/mycolyltransferase Ag85C,Function unknown,Op90,"Rv0081,senX3,regX3,sigE,Rv1353c,Rv1719,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv0129c
Rv2074,0.0875182736,Rv2074,pyridoxamine 5'-phosphate oxidase,Function unknown,Op1297,"Rv0081,mprA,mprB,Rv1353c,Rv2034",False,False,https://mycobrowser.epfl.ch/genes/Rv2074
Rv2350c,0.0870320302,plcB,membrane-associated phospholipase B,Cell wall/membrane/envelope biogenesis,Op1485,"iniR,Rv0678,phoP,Rv1353c,mbcA,sigH,lsr2",False,True,https://mycobrowser.epfl.ch/genes/Rv2350c
Rv0883c,0.0860936199,Rv0883c,hypothetical protein,Function unknown,Op572,"Rv0081,Rv1776c,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv0883c
Rv2864c,0.084407219,Rv2864c,penicillin-binding lipoprotein,Cell wall/membrane/envelope biogenesis,Op1799,"Rv0135c,Rv0324,Rv0653c,Rv1049,Rv1353c,Rv1719,Rv1816,Rv2011c,Rv2250c,devR,sigH,Rv3249c,espR",False,True,https://mycobrowser.epfl.ch/genes/Rv2864c
Rv3330,0.08372508470000001,dacB1,penicillin-binding protein DacB,Cell wall/membrane/envelope biogenesis,Op2083,"csoR,Rv1049,Rv2011c,sigH",False,True,https://mycobrowser.epfl.ch/genes/Rv3330
