locus,gene_weight,gene_name,gene_product,COG,operon,regulator,sigD,link
Rv3512,0.19687640920000002,PE_PGRS56,PE-PGRS family protein PE_PGRS56,No COG annotation,Op2195,"whiB5,Rv0047c,Rv0081,Rv0135c,Rv0324,Rv1353c,Rv1816,lsr2,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv3512
Rv3514,0.1899210698,PE_PGRS57,PE-PGRS family protein PE_PGRS57,No COG annotation,Op2197,"Rv0135c,Rv0494,Rv1353c,sigB,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3514
Rv3508,0.1874918365,PE_PGRS54,PE-PGRS family protein PE_PGRS54,No COG annotation,Op2193,"Rv0081,Rv0135c,sigB,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3508
Rv0833,0.1835510981,PE_PGRS13,PE-PGRS family protein PE_PGRS13,No COG annotation,Op536,"Rv0047c,Rv0324,Rv0494,csoR,whiA,Rv3249c,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv0833
Rv3344c,0.1480033056,PE_PGRS49,PE-PGRS family protein PE_PGRS49,No COG annotation,Op2091,"Rv0081,Rv0678,trcR,Rv1353c,lsr2,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv3344c
Rv2541,0.1457855465,Rv2541,hypothetical protein,No COG annotation,Op1605,"Rv0135c,csoR,Rv1816",False,https://mycobrowser.epfl.ch/genes/Rv2541
Rv3345c,0.1379194647,PE_PGRS50,PE-PGRS family protein PE_PGRS50,No COG annotation,Op2092,"Rv0081,iniR,Rv0678,csoR,trcR,Rv1353c,whiA,Rv2021c,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv3345c
Rv0279c,0.1327248975,PE_PGRS4,PE-PGRS family protein PE_PGRS4,No COG annotation,Op193,"zur,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv0279c
Rv1091,0.1322927841,PE_PGRS22,PE-PGRS family protein PE_PGRS22,No COG annotation,Op712,"Rv0081,Rv0135c,Rv0324,csoR,Rv1816,mbcA",False,https://mycobrowser.epfl.ch/genes/Rv1091
Rv3388,0.1300228331,PE_PGRS52,PE-PGRS family protein PE_PGRS52,No COG annotation,Op2121,"csoR,Rv1473A",False,https://mycobrowser.epfl.ch/genes/Rv3388
Rv2526,0.1206513043,vapB17,antitoxin VapB17,Function unknown,Op1598,"Rv0047c,Rv1353c,Rv2011c",False,https://mycobrowser.epfl.ch/genes/Rv2526
Rv1087,0.11648964020000001,PE_PGRS21,PE-PGRS family protein PE_PGRS21,No COG annotation,Op709,"Rv0047c,csoR,Rv1353c,whiA,Rv1816",False,https://mycobrowser.epfl.ch/genes/Rv1087
Rv0747,0.11435285170000001,PE_PGRS10,PE-PGRS family protein PE_PGRS10,No COG annotation,Op479,"Rv0302,lysG",False,https://mycobrowser.epfl.ch/genes/Rv0747
Rv0746,0.1129589934,PE_PGRS9,PE-PGRS family protein PE_PGRS9,No COG annotation,Op478,"Rv0494,csoR",False,https://mycobrowser.epfl.ch/genes/Rv0746
Rv3507,0.1123064599,PE_PGRS53,PE-PGRS family protein PE_PGRS53,No COG annotation,Op2192,"Rv0023,Rv0081,csoR,Rv1353c,Rv2034",False,https://mycobrowser.epfl.ch/genes/Rv3507
Rv1450c,0.10983016100000001,PE_PGRS27,PE-PGRS family protein PE_PGRS27,No COG annotation,Op930,"ssb,Rv0081,Rv0348,Rv0472c,ccdA,Rv0560c,sigL,csoR,Rv1167c,Rv1186c,Rv1353c,blaI,Rv2021c,hrcA,Rv2478c,groEL1,tcrX,Rv3830c,Rv3840",False,https://mycobrowser.epfl.ch/genes/Rv1450c
Rv2490c,0.1062637808,PE_PGRS43,PE-PGRS family protein PE_PGRS43,No COG annotation,Op1574,"Rv0047c,Rv0465c,Rv1353c,sigB,Rv3736,espR",False,https://mycobrowser.epfl.ch/genes/Rv2490c
Rv3511,0.1047354956,PE_PGRS55,PE-PGRS family protein PE_PGRS55,No COG annotation,Op2195,"Rv0047c,Rv0324,Rv2324,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv3511
Rv0124,0.1001216458,PE_PGRS2,PE-PGRS family protein PE_PGRS2,Lipid transport and metabolism,Op86,"whiB5,csoR,Rv1776c",False,https://mycobrowser.epfl.ch/genes/Rv0124
Rv0578c,0.0976389653,PE_PGRS7,PE-PGRS family protein PE_PGRS7,No COG annotation,Op382,"Rv0023,csoR,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0578c
Rv0278c,0.0951216221,Rv0278c,PE-PGRS family protein PE_PGRS3,Function unknown,Op192,"Rv0081,csoR,Rv1353c",False,https://mycobrowser.epfl.ch/genes/Rv0278c
Rv1325c,0.0932063494,PE_PGRS24,PE-PGRS family protein PE_PGRS24,Lipid transport and metabolism,Op866,csoR,False,https://mycobrowser.epfl.ch/genes/Rv1325c
Rv1452c,0.09276325240000001,PE_PGRS28,PE-PGRS family protein PE_PGRS28,No COG annotation,Op932,"Rv0047c,csoR,Rv1353c,Rv1776c",False,https://mycobrowser.epfl.ch/genes/Rv1452c
Rv0532,0.0914444172,PE_PGRS6,PE-PGRS family protein PE_PGRS6,Lipid transport and metabolism,Op352,"Rv0691c,Rv1353c,whiA",False,https://mycobrowser.epfl.ch/genes/Rv0532
Rv1067c,0.0900620833,PE_PGRS19,PE-PGRS family protein PE_PGRS19,Lipid transport and metabolism,Op694,"Rv0023,Rv2887,Rv3249c,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1067c
Rv3590c,0.0837677993,PE_PGRS58,PE-PGRS family protein PE_PGRS58,Lipid transport and metabolism,Op2242,"csoR,Rv3830c",False,https://mycobrowser.epfl.ch/genes/Rv3590c
Rv1468c,0.0824793315,PE_PGRS29,PE-PGRS family protein PE_PGRS29,Function unknown,Op941,csoR,False,https://mycobrowser.epfl.ch/genes/Rv1468c
Rv1396c,0.0819144276,PE_PGRS25,PE-PGRS family protein PE_PGRS25,Lipid transport and metabolism,Op900,"Rv0047c,Rv0081,Rv1776c,Rv3249c,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1396c
