locus_id,go_id,go_name
Rv0001,GO:0005886,plasma membrane
Rv0002,GO:0009360,DNA polymerase III complex
Rv0003,GO:0005886,plasma membrane
Rv0004,GO:0005886,plasma membrane
Rv0005,GO:0005886,plasma membrane
Rv0006,"double strand cut, ATP-hydrolyzing) comple",DNA topoisomerase type II 
Rv0007,GO:0016021,integral component of membrane
Rv0008c,GO:0016021,integral component of membrane
Rv0009,GO:0005886,plasma membrane
Rv0010c,GO:0016021,integral component of membrane
Rv0011c,GO:0016021,integral component of membrane
Rv0012,GO:0052718,tRNA-specific adenosine-34 deaminase complex
Rv0013,GO:0005886,plasma membrane
Rv0014c,GO:0016021,integral component of membrane
Rv0015c,GO:0016021,integral component of membrane
Rv0016c,GO:0016021,integral component of membrane
Rv0017c,GO:0032153,cell division site
Rv0018c,GO:0016021,integral component of membrane
Rv0019c,GO:0016021,integral component of membrane
Rv0020c,GO:0005829,cytosol
Rv0022c,GO:0005737,cytoplasm
Rv0023,GO:0003677,DNA binding
Rv0025,GO:0005886,plasma membrane
Rv0026,GO:0008203,cholesterol metabolic process
Rv0027,GO:0009306,protein secretion
Rv0028,GO:0005971,ribonucleoside-diphosphate reductase complex
Rv0028A,GO:0005886,plasma membrane
Rv0030,GO:0005886,plasma membrane
Rv0032,GO:0005618,cell wall
Rv0034,GO:0055114,oxidation-reduction process
Rv0036c,GO:0005886,plasma membrane
Rv0037c,GO:0016021,integral component of membrane
Rv0038,GO:0005886,plasma membrane
Rv0039c,GO:0016021,integral component of membrane
Rv0040c,GO:0005576,extracellular region
Rv0041,GO:0005886,plasma membrane
Rv0042c,GO:0005886,plasma membrane
Rv0043c,GO:0006355,"regulation of transcription, DNA-templated"
Rv0046c,GO:0005829,cytosol
Rv0048c,GO:0016021,integral component of membrane
Rv0049,GO:0005829,cytosol
Rv0050,GO:0030288,outer membrane-bounded periplasmic space
Rv0052,GO:0003824,catalytic activity
Rv0053,GO:0022627,cytosolic small ribosomal subunit
Rv0054,GO:0009295,nucleoid
Rv0055,GO:0022627,cytosolic small ribosomal subunit
Rv0056,GO:0022625,cytosolic large ribosomal subunit
Rv0057,GO:0005886,plasma membrane
Rv0058,GO:1990077,primosome complex
Rv0061c,GO:0005975,carbohydrate metabolic process
Rv0062,GO:0016021,integral component of membrane
Rv0064,GO:0016021,integral component of membrane
Rv0064A,GO:0006355,"regulation of transcription, DNA-templated"
Rv0065,GO:0090501,RNA phosphodiester bond hydrolysis
