locus,gene_weight,gene_name,gene_product,COG,operon,regulator,blaI,link
Rv1622c,0.2791770179,cydB,cytochrome D ubiquinol oxidase subunit II CydB,Energy production and conversion,Op1023,"Rv0135c,Rv0328,senX3,regX3,Rv1473A,blaI,Rv2011c,Rv2250c,sigH",True,https://mycobrowser.epfl.ch/genes/Rv1622c
Rv1623c,0.2690366798,cydA,cytochrome D ubiquinol oxidase subunit I CydA,Energy production and conversion,Op1023,"Rv0494,blaI,Rv2250c,sigH,lsr2,MG2; Starvation",True,https://mycobrowser.epfl.ch/genes/Rv1623c
Rv1620c,0.256828357,cydC,cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydC,Defense mechanisms,Op1022,"Rv0328,Rv2021c,sigH",False,https://mycobrowser.epfl.ch/genes/Rv1620c
Rv1621c,0.2265829168,cydD,cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydD,Defense mechanisms,Op1022,"Rv0328,csoR,Rv2011c,Rv2250c,sigH,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv1621c
Rv2069,0.1522419863,sigC,ECF RNA polymerase sigma factor SigC,Transcription,Op1294,"Rv2011c,kstR",False,https://mycobrowser.epfl.ch/genes/Rv2069
Rv1456c,0.09966499770000001,Rv1456c,antibiotic ABC transporter permease,"Post-translational modification, protein turnover,and chaperones",Op936,"Rv0023,Rv0691c,csoR,Rv1049,espR",False,https://mycobrowser.epfl.ch/genes/Rv1456c
Rv1846c,0.0945711201,blaI,transcriptional repressor BlaI,Transcription,Op1162,"Rv0465c,Rv0576",False,https://mycobrowser.epfl.ch/genes/Rv1846c
Rv1303,0.0945109523,Rv1303,hypothetical protein,Function unknown,Op855,"Rv0023,sigI,whiA,Rv1816,blaI,Rv3249c,lsr2,MG2; Starvation",True,https://mycobrowser.epfl.ch/genes/Rv1303
Rv1304,0.0902755445,atpB,ATP synthase subunit A,Energy production and conversion,Op855,"Rv0023,Rv0081,Rv0135c,phoP,mprA,mprB,trcR,sigI,whiA,Rv1816,blaI,mbcA,Rv2324,Rv3249c,lsr2,Rv3830c",True,https://mycobrowser.epfl.ch/genes/Rv1304
Rv3290c,0.083440305,lat,L-lysine-epsilon aminotransferase,Amino acid transport and metabolism,Op2060,"Rv0023,Rv0047c,Rv0081,Rv0302,Rv0324,trcR,sigI,Rv1353c,Rv1358,Rv1776c,Rv2021c,Rv2034,Rv2324,sigA,Rv3058c,sigH,sigF,lrpA,whiB3",False,https://mycobrowser.epfl.ch/genes/Rv3290c
Rv0560c,-0.0842732052,Rv0560c,benzoquinone methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Op368,"Rv0023,trcR,Rv1353c,Rv2887,Rv3249c,kstR,lsr2,Rv3830c,Salicylate Induced",False,https://mycobrowser.epfl.ch/genes/Rv0560c
