locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Rv0576,link
Rv2913c,0.2159892321,Rv2913c,D-amino acid aminohydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1828,"Rv0324,Rv1353c,Rv2912c",False,https://mycobrowser.epfl.ch/genes/Rv2913c
Rv2912c,0.17533222380000002,Rv2912c,TetR family HTH-type transcriptional regulator,Transcription,Op1828,"Rv0302,Rv0324,Rv1816,Rv2912c,devR,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv2912c
Rv0793,0.1526435032,Rv0793,monooxygenase,Function unknown,Op507,"Rv0081,Rv0880,Rv2034,Rv2642,kstR2,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0793
Rv0837c,0.1467813819,Rv0837c,hypothetical protein,Function unknown,Op540,"Rv0081,tcrA,csoR,Rv1219c,Rv1353c,Rv1816,lysG,Rv2324,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv0837c
Rv0767c,0.14661407510000002,Rv0767c,HTH-type transcriptional regulator,Transcription,Op491,"Rv0324,Rv0328,Rv0576,Rv0767c,Rv1255c",True,https://mycobrowser.epfl.ch/genes/Rv0767c
Rv0792c,0.1453937407,Rv0792c,transcriptional regulator,Transcription,Op506,"Rv0023,Rv0081,Rv0880,Rv2034,Rv2642,kstR2,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0792c
Rv0768,0.1433381656,aldA,aldehyde dehydrogenase AldA,Energy production and conversion,Op492,"Rv0324,Rv0328,Rv0576,Rv0767c,Rv1255c,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0768
Rv0791c,0.1432297721,Rv0791c,hypothetical protein,Energy production and conversion,Op506,"Rv0023,Rv0081,Rv0324,tcrA,Rv2250c,kstR2,lsr2,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0791c
Rv0765c,0.1302860473,Rv0765c,oxidoreductase,Function unknown,Op491,"Rv0023,Rv0324,Rv0328,Rv0576,Rv0767c,Rv1255c,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0765c
Rv0766c,0.1250185532,cyp123,cytochrome P450 Cyp123,Energy production and conversion,Op491,"Rv0023,Rv0324,Rv0328,Rv0576,Rv0767c,Rv1255c,Rv3736,ideR",True,https://mycobrowser.epfl.ch/genes/Rv0766c
Rv0790c,0.1199288761,Rv0790c,hypothetical protein,Amino acid transport and metabolism,Op506,"Rv0023,Rv0081,Rv0135c,Rv0302,Rv0324,tcrA,Rv2034,Rv2250c,Rv2324,kstR2,lsr2,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0790c
Rv0769,0.1092286657,Rv0769,oxidoreductase,Lipid transport and metabolism,Op492,"Rv0324,Rv0328,Rv0576,Rv0767c,trcR,Rv1255c,Rv1816,Rv2324,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0769
Rv1048c,0.10829218410000001,Rv1048c,hypothetical protein,Function unknown,Op681,"csoR,Rv1353c,Rv1776c,Rv1816,Rv3488",False,https://mycobrowser.epfl.ch/genes/Rv1048c
Rv0764c,0.106064683,cyp51,lanosterol 14-alpha demethylase,"Secondary metabolites biosynthesis, transport, and catabolism",Op491,"Rv0023,Rv0324,Rv0328,Rv0576,Rv0767c,Rv1255c,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0764c
Rv0763c,0.0989906598,Rv0763c,ferredoxin,Energy production and conversion,Op491,"Rv0023,Rv0324,Rv0328,Rv0576,Rv0767c,Rv1255c,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0763c
Rv0654,0.0951842692,Rv0654,carotenoid cleavage oxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",Op429,"Rv0081,Rv0653c,Rv0678,csoR,trcR,Rv1049,Rv1776c,Rv1816,Rv2989,devR,sigH,mtrA,Rv3249c,lsr2,whiB4,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv0654
Rv0836c,0.09091659490000001,Rv0836c,hypothetical protein,Function unknown,Op539,"Rv0081,Rv0135c,tcrA,csoR,Rv1353c,Rv1776c,Rv2250c,Rv2324,lsr2",False,https://mycobrowser.epfl.ch/genes/Rv0836c
Rv0331,0.0881635751,Rv0331,dehydrogenase/reductase,Function unknown,Op228,"Rv0023,Rv0302,csoR,Rv1353c,Rv1816,vapB15,Rv3249c,whiB4",False,https://mycobrowser.epfl.ch/genes/Rv0331
Rv2025c,0.0845857071,Rv2025c,cation efflux system protein,Inorganic ion transport and metabolism,Op1272,"Rv0324,kmtR,csoR,Rv1353c",False,https://mycobrowser.epfl.ch/genes/Rv2025c
Rv0762c,0.0826904364,Rv0762c,hypothetical protein,No COG annotation,Op491,"Rv0023,Rv0324,Rv0576,Rv0767c,Rv1255c,Rv2011c,Rv2324,kstR,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0762c
Rv2620c,0.0824277452,Rv2620c,transmembrane protein,No COG annotation,Op1651,"mprA,mprB,Rv2034,Rv2621c,Rv2887,devR,whiB4",False,https://mycobrowser.epfl.ch/genes/Rv2620c
Rv0770,0.0818692087,Rv0770,oxidoreductase,Lipid transport and metabolism,Op493,"Rv0324,Rv0328,Rv0576,Rv0767c,Rv1255c,Rv1776c,Rv2250c,kstR,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0770
Rv1586c,0.0811753046,Rv1586c,phage integrase,"Replication, recombination and repair",Op1007,"Rv0081,Rv0474,csoR,trcR,Rv1219c,Rv1353c,pyrR,Rv2011c,Rv2034,Rv2640c,Rv2887,Rv3160c,Rv3249c,kstR2,kstR,espR",False,https://mycobrowser.epfl.ch/genes/Rv1586c
Rv1585c,0.07904316480000001,Rv1585c,phage protein,No COG annotation,Op1007,"Rv0081,Rv0324,Rv0474,csoR,trcR,Rv1049,sigI,Rv1219c,Rv1353c,whiA,Rv2011c,Rv2034,Rv2887,Rv3160c,Rv3249c,whiB2,lrpA,kstR,espR,Acid Shock",False,https://mycobrowser.epfl.ch/genes/Rv1585c
Rv3167c,0.0790175684,Rv3167c,TetR family transcriptional regulator,Transcription,Op1975,"cmtR,Rv3488",False,https://mycobrowser.epfl.ch/genes/Rv3167c
Rv0771,0.0776907329,Rv0771,4-carboxymuconolactone decarboxylase,Function unknown,Op493,"Rv0047c,Rv0324,Rv0328,Rv0576,Rv0678,Rv0767c,csoR,trcR,Rv1255c,Rv1816,Rv2250c,Rv3736",True,https://mycobrowser.epfl.ch/genes/Rv0771
Rv2621c,0.0729774022,Rv2621c,transcriptional regulator,Transcription,Op1651,"Rv0081,mprA,mprB,Rv2621c",False,https://mycobrowser.epfl.ch/genes/Rv2621c
Rv1169c,0.0729112359,lipX,lipase LipX,Lipid transport and metabolism,Op764,"Rv0081,Rv0324,csoR,pyrR,Rv2011c,sigH,Acid Shock",False,https://mycobrowser.epfl.ch/genes/Rv1169c
Rv2662,0.0716646874,Rv2662,hypothetical protein,No COG annotation,Op1677,"mprA,mprB,Rv1353c",False,https://mycobrowser.epfl.ch/genes/Rv2662
Rv2035,0.07012922690000001,Rv2035,hypothetical protein,Function unknown,Op1277,"Rv0023,Rv0081,Rv0158,Rv0576,csoR,mprA,mprB,lprD,Rv1353c,Rv2034,devR,whiB4",True,https://mycobrowser.epfl.ch/genes/Rv2035
Rv1256c,0.0699176058,cyp130,cytochrome P450 Cyp130,"Secondary metabolites biosynthesis, transport, and catabolism",Op824,"mprA,mprB",False,https://mycobrowser.epfl.ch/genes/Rv1256c
Rv3833,0.0696209339,Rv3833,AraC family transcriptional regulator,Transcription,Op2399,"mprA,mprB,Rv2021c,sigH",False,https://mycobrowser.epfl.ch/genes/Rv3833
Rv3054c,0.0676582825,Rv3054c,hypothetical protein,Function unknown,Op1915,"Rv0081,mprA,mprB,sigH,Rv3249c,whiB4,HPT-2b Induced",False,https://mycobrowser.epfl.ch/genes/Rv3054c
Rv0991c,0.0670306158,Rv0991c,hypothetical protein,Function unknown,Op642,"Rv0324,Rv0678,Rv0691c,mprA,mprB,Rv1353c,mbcA,Rv2034,Rv2250c,sigH,Rv3249c",False,https://mycobrowser.epfl.ch/genes/Rv0991c
Rv3168,0.0668467676,Rv3168,aminoglycoside phosphotransferase,Function unknown,Op1976,"whiB5,mprA,mprB,cmtR",False,https://mycobrowser.epfl.ch/genes/Rv3168
Rv2036,0.0664539095,Rv2036,hypothetical protein,Function unknown,Op1277,"whiB5,Rv0023,Rv0081,Rv0158,Rv0576,csoR,Rv1353c,Rv2034",True,https://mycobrowser.epfl.ch/genes/Rv2036
