locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
Rv2463,0.25188726710000003,lipP,esterase/lipase LipP,Defense mechanisms,Op1559,"Rv0135c,trcR,sigI,Rv2034",https://mycobrowser.epfl.ch/genes/Rv2463
Rv0156,0.1594636723,pntAb,NAD(P) transhydrogenase subunit alpha PntAb,Energy production and conversion,Op112,"Rv0047c,Rv0081,Rv0302,Rv0767c,csoR,trcR,whiA,mbcA,Rv2034,Rv2324,Rv2887,sigH,kstR",https://mycobrowser.epfl.ch/genes/Rv0156
Rv0157,0.1408465528,pntB,NAD(P) transhydrogenase subunit beta PntB,Energy production and conversion,Op112,"Rv0023,Rv0047c,Rv0081,Rv0302,Rv0324,Rv0678,Rv0767c,csoR,trcR,Rv1049,sigI,Rv1353c,whiA,Rv1719,mbcA,Rv2034,Rv2324,Rv2887,kstR",https://mycobrowser.epfl.ch/genes/Rv0157
Rv0155,0.13942955170000002,pntAa,NAD(P) transhydrogenase subunit alpha PntAa,Energy production and conversion,Op112,"Rv0047c,Rv0081,Rv0767c,Rv1049,Rv1353c,whiA,mbcA,Rv2324,Rv2887,sigH",https://mycobrowser.epfl.ch/genes/Rv0155
Rv3883c,0.1373616997,mycP1,membrane-anchored mycosin,"Post-translational modification, protein turnover,and chaperones",Op2430,"Rv0023,csoR,Rv1353c,Rv1719,Rv2011c,Rv2250c,Rv3249c",https://mycobrowser.epfl.ch/genes/Rv3883c
Rv2656c,0.0956901066,Rv2656c,prophage protein,Function unknown,Op1675,"Rv0081,mprA,mprB,trcR,Rv1353c,Rv1816,lysG,Rv2250c,lsr2",https://mycobrowser.epfl.ch/genes/Rv2656c
Rv3654c,0.0903516967,Rv3654c,hypothetical protein,Function unknown,Op2284,tcrX,https://mycobrowser.epfl.ch/genes/Rv3654c
Rv1570,0.0862164027,bioD,ATP-dependent dethiobiotin synthetase BioD,Coenzyme transport and metabolism,Op1000,Rv3736,https://mycobrowser.epfl.ch/genes/Rv1570
Rv2866,0.0856045477,relG,toxin RelG,Transcription,Op1800,"Rv0135c,Rv0273c,Rv0324,senX3,regX3,Rv0653c,Rv1353c,whiA,Rv1719,Rv1816,Rv2011c,Rv2021c,Rv2250c,devR,Rv3249c,espR",https://mycobrowser.epfl.ch/genes/Rv2866
Rv3745c,-0.0887254274,Rv3745c,hypothetical protein,Carbohydrate transport and metabolism,Op2345,"marR,lsr2",https://mycobrowser.epfl.ch/genes/Rv3745c
