All-Genes,Genes in same transcription unit,Accession-1,Left-End-Position
dnaA,dnaA,Rv0001,1
dnaN,Rv0004 // recF // dnaN,Rv0002,2052
recF,Rv0004 // recF // dnaN,Rv0003,3280
Rv0004,Rv0004 // recF // dnaN,Rv0004,4434
gyrB,gyrA // gyrB,Rv0005,5240
gyrA,gyrA // gyrB,Rv0006,7302
Rv0007,Rv0007,Rv0007,9914
Rv0008c,Rv0008c,Rv0008c,11874
ppiA,ppiA,Rv0009,12468
Rv0010c,Rv0010c,Rv0010c,13133
crgA,crgA,Rv0011c,13714
Rv0012,trpG // Rv0012,Rv0012,14089
trpG,trpG // Rv0012,Rv0013,14914
pknB,pstP // rodA // pbpA // pknA // pknB,Rv0014c,15590
pknA,pstP // rodA // pbpA // pknA // pknB,Rv0015c,17467
pbpA,pstP // rodA // pbpA // pknA // pknB,Rv0016c,18759
rodA,pstP // rodA // pbpA // pknA // pknB,Rv0017c,20231
pstP,pstP // rodA // pbpA // pknA // pknB,Rv0018c,21637
fhaB,fhaB,Rv0019c,23270
fhaA,fhaA,Rv0020c,23861
Rv0021c,Rv0021c,Rv0021c,25913
whiB5,whiB5,Rv0022c,27023
Rv0023,Rv0025 // Rv0024 // Rv0023,Rv0023,27595
Rv0024,Rv0025 // Rv0024 // Rv0023,Rv0024,28362
Rv0025,Rv0025 // Rv0024 // Rv0023,Rv0025,29245
Rv0026,Rv0026,Rv0026,29722
Rv0027,Rv0028 // Rv0027,Rv0027,31189
Rv0028,Rv0028 // Rv0027,Rv0028,31514
Rv0029,Rv0029,Rv0029,32057
Rv0030,Rv0031 // Rv0030,Rv0030,33224
Rv0031,Rv0031 // Rv0030,Rv0031,33582
bioF2,fadD34 // Rv0034 // acpA // bioF2,Rv0032,34295
acpA,fadD34 // Rv0034 // acpA // bioF2,Rv0033,36607
Rv0034,fadD34 // Rv0034 // acpA // bioF2,Rv0034,36867
fadD34,fadD34 // Rv0034 // acpA // bioF2,Rv0035,37259
Rv0036c,Rv0036c,Rv0036c,39056
Rv0037c,Rv0037c,Rv0037c,39877
Rv0038,Rv0038,Rv0038,41304
Rv0039c,Rv0039c,Rv0039c,42004
mtc28,mtc28,Rv0040c,42433
leuS,leuS,Rv0041,43562
Rv0042c,Rv0042c,Rv0042c,46581
Rv0043c,Rv0043c,Rv0043c,47366
Rv0044c,Rv0045c // Rv0044c,Rv0044c,48233
Rv0045c,Rv0045c // Rv0044c,Rv0045c,49043
ino1,ino1,Rv0046c,50021
Rv0047c,Rv0047c,Rv0047c,51185
Rv0048c,Rv0048c,Rv0048c,51828
Rv0049,Rv0049,Rv0049,52831
ponA1,Rv0052 // Rv0051 // ponA1,Rv0050,53663
Rv0051,Rv0052 // Rv0051 // ponA1,Rv0051,55696
Rv0052,Rv0052 // Rv0051 // ponA1,Rv0052,57410
rpsF,rpsF,Rv0053,58192
ssb,ssb,Rv0054,58586
rpsR1,Rv0057 // rplI // rpsR1,Rv0055,59122
rplI,Rv0057 // rplI // rpsR1,Rv0056,59409
Rv0057,Rv0057 // rplI // rpsR1,Rv0057,59896
dnaB,dnaB,Rv0058,60396
Rv0059,Rv0060 // Rv0059,Rv0059,63200
