locus,gene_weight,gene_name,gene_product,COG,operon,regulator,ideR,link
Rv2386c,0.2687149712,mbtI,salicylate synthase,Coenzyme transport and metabolism,Op1506,"Rv0023,Rv0081,Rv0324,Rv0678,mprA,mprB,trcR,whiA,sigH,ideR",True,https://mycobrowser.epfl.ch/genes/Rv2386c
Rv2382c,0.2325387778,mbtC,polyketide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1503,"Rv0678,mprA,mprB,Rv2034,ideR",True,https://mycobrowser.epfl.ch/genes/Rv2382c
Rv2123,0.23064084510000002,PPE37,PPE family protein PPE37,Cell motility,Op1328,"sigK,phoP,mprA,mprB,Rv1049,sigI,Rv2175,tcrX,ideR",True,https://mycobrowser.epfl.ch/genes/Rv2123
Rv2383c,0.2206023842,mbtB,phenyloxazoline synthase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1503,"Rv0302,csoR,mprA,mprB,Rv1816,Rv2034,ideR",True,https://mycobrowser.epfl.ch/genes/Rv2383c
Rv2381c,0.2173716652,mbtD,polyketide synthetase,Lipid transport and metabolism,Op1503,"Rv0047c,Rv0302,Rv0678,csoR,mprA,mprB,Rv1776c,Rv2034,ideR",True,https://mycobrowser.epfl.ch/genes/Rv2381c
Rv3839,0.2042328215,Rv3839,hypothetical protein,Function unknown,Op2403,"sigK,mprA,mprB,Rv1353c,mbcA,Rv2175,Rv2324,devR,ideR",True,https://mycobrowser.epfl.ch/genes/Rv3839
Rv3402c,0.2027143969,Rv3402c,hypothetical protein,Cell wall/membrane/envelope biogenesis,Op2132,"Rv0023,Rv0047c,Rv0081,Rv0135c,Rv0324,Rv0678,Rv1719,Rv1816,Rv2021c,Rv3736,espR,ideR",True,https://mycobrowser.epfl.ch/genes/Rv3402c
Rv2380c,0.1888376673,mbtE,peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1502,"Rv0081,Rv0302,csoR,mprA,mprB,Rv1776c,Rv2034,Rv2324,ideR",True,https://mycobrowser.epfl.ch/genes/Rv2380c
Rv2384,0.1844564752,mbtA,2%2C3-dihydroxybenzoate-AMP ligase,"Secondary metabolites biosynthesis, transport, and catabolism",Op1504,ideR,True,https://mycobrowser.epfl.ch/genes/Rv2384
Rv1519,0.174467394,Rv1519,hypothetical protein,Amino acid transport and metabolism,Op971,"Rv0047c,Rv0324,Rv2011c,sigH,ideR",True,https://mycobrowser.epfl.ch/genes/Rv1519
