locus,gene_weight,gene_name,gene_product,COG,operon,regulator,ricR,link
Rv0847,0.3370325462,lpqS,lipoprotein LpqS,No COG annotation,Op549,"ricR,ricR,sigH,HPT-2b Induced",True,https://mycobrowser.epfl.ch/genes/Rv0847
Rv0186A,0.3045871146,mymT,metallothionein,No COG annotation,Op129,"ricR,HPT-2b Induced",True,https://mycobrowser.epfl.ch/genes/Rv0186A
Rv0849,0.2494299371,Rv0849,MFS-type transporter,Amino acid transport and metabolism,Op550,"Rv0047c,ricR,Rv0678,Rv1353c,marR,sigH,Copper Induced,HPT-2b Induced",True,https://mycobrowser.epfl.ch/genes/Rv0849
Rv2963,0.2367152593,Rv2963,integral membrane protein,Function unknown,Op1855,"ricR,ricR,Rv2989,sigH,Copper Induced,HPT-2b Induced",True,https://mycobrowser.epfl.ch/genes/Rv2963
Rv0848,0.2363413804,cysK2,cysteine synthase CysK,Amino acid transport and metabolism,Op550,"Rv0047c,ricR,Rv0678,Rv1353c,devR,sigH,Copper Induced",True,https://mycobrowser.epfl.ch/genes/Rv0848
Rv0846c,0.2126466076,Rv0846c,oxidase,"Secondary metabolites biosynthesis, transport, and catabolism",Op548,"Rv0135c,ricR,HPT-2b Induced",True,https://mycobrowser.epfl.ch/genes/Rv0846c
Rv1813c,0.1917326279,Rv1813c,hypothetical protein,Function unknown,Op1141,"Rv0081,Rv1353c,lysG,Rv2034,devR,sigH,lsr2,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv1813c
Rv0967,0.1415675135,csoR,copper-sensing transcriptional repressor CsoR,Transcription,Op627,"Rv0081,Rv0328,csoR,whiA,Rv2324,pimA,Copper Induced,HPT-2b Induced",False,https://mycobrowser.epfl.ch/genes/Rv0967
Rv0969,0.12536005860000002,ctpV,copper-exporting ATPase,Inorganic ion transport and metabolism,Op629,"Rv0081,Rv0324,csoR,Rv1353c,whiA,Rv1719,Rv1816,mbcA,Rv2034,Rv2324,Copper Induced,HPT-2b Induced",False,https://mycobrowser.epfl.ch/genes/Rv0969
Rv0968,0.1170167964,Rv0968,hypothetical protein,Function unknown,Op628,"Rv0081,Rv0324,csoR,whiA,Rv1719,Rv1816,Rv2324,Copper Induced,HPT-2b Induced",False,https://mycobrowser.epfl.ch/genes/Rv0968
Rv1812c,0.11261565200000001,Rv1812c,dehydrogenase,Energy production and conversion,Op1140,"whiB5,Rv0081,Rv0324,senX3,regX3,tcrA,csoR,Rv1353c,Rv1816,mbcA,vapB15,Rv2250c,Rv2642,Rv3736",False,https://mycobrowser.epfl.ch/genes/Rv1812c
Rv0190,0.10252042160000001,ricR,hypothetical protein,Function unknown,Op133,"ricR,Rv1776c,Rv2324,Copper Induced",True,https://mycobrowser.epfl.ch/genes/Rv0190
Rv2964,0.0965921527,purU,formyltetrahydrofolate deformylase,Nucleotide transport and metabolism,Op1856,"Rv0047c,Rv0081,ricR,csoR,trcR,Rv1776c,lysG,Rv2021c",True,https://mycobrowser.epfl.ch/genes/Rv2964
Rv2654c,0.08032956720000001,Rv2654c,antitoxin,No COG annotation,Op1675,Rv1353c,False,https://mycobrowser.epfl.ch/genes/Rv2654c
