locus,gene_weight,gene_name,gene_product,COG,operon,regulator,sigH,link
Rv0888,0.1556399931,Rv0888,hypothetical protein,Function unknown,Op576,"Rv0023,Rv0047c,Rv0081,Rv0324,Rv0328,phoP,Rv0767c,Rv2250c,Rv2887,sigH,mtrA,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv0888
Rv0040c,0.1533471353,mtc28,hypothetical protein,Function unknown,Op25,"Rv0767c,csoR,devR,sigH,Rv3249c",True,https://mycobrowser.epfl.ch/genes/Rv0040c
Rv1158c,0.14419716600000002,Rv1158c,hypothetical protein,No COG annotation,Op757,"csoR,sigH",True,https://mycobrowser.epfl.ch/genes/Rv1158c
Rv0312,0.13375872190000002,Rv0312,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Op213,"Rv0023,senX3,regX3,Rv0678,csoR,sigH,Rv3249c",True,https://mycobrowser.epfl.ch/genes/Rv0312
Rv3810,0.13336229260000002,pirG,cell surface protein,No COG annotation,Op2384,"Rv0023,Rv0081,Rv0678,trcR,Rv1353c,sigH,Rv3830c",True,https://mycobrowser.epfl.ch/genes/Rv3810
Rv1076,0.13021401400000002,lipU,lipase LipU,Lipid transport and metabolism,Op701,"Rv0023,Rv0047c,Rv0081,Rv0328,Rv1353c,whiA,Rv1816,sigH,lsr2,espR",True,https://mycobrowser.epfl.ch/genes/Rv1076
Rv1754c,0.1212989321,Rv1754c,hypothetical protein,Carbohydrate transport and metabolism,Op1098,"Rv0023,iniR,Rv0678,Rv1353c,sigH,kstR2,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1754c
Rv1566c,0.1211432286,Rv1566c,hypothetical protein,Cell wall/membrane/envelope biogenesis,Op998,"Rv0324,Rv0767c,Rv2034,devR,sigH,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1566c
Rv1157c,0.12023558990000001,Rv1157c,hypothetical protein,No COG annotation,Op756,"Rv0023,Rv0081,Rv0302,Rv0494,Rv0767c,csoR,trcR,Rv1353c,whiA,Rv2011c,Rv2250c,Rv3066,sigH,mtrA,Rv3249c,Rv3830c",True,https://mycobrowser.epfl.ch/genes/Rv1157c
Rv1772,0.1186780926,Rv1772,hypothetical protein,Function unknown,Op1108,sigH,True,https://mycobrowser.epfl.ch/genes/Rv1772
Rv1469,0.118298019,ctpD,cobalt/nickel-exporting P-type ATPase,Inorganic ion transport and metabolism,Op942,"Rv1776c,Rv1816,sigH",True,https://mycobrowser.epfl.ch/genes/Rv1469
Rv0129c,0.11757672050000001,fbpC,diacylglycerol acyltransferase/mycolyltransferase Ag85C,Function unknown,Op90,"Rv0081,senX3,regX3,sigE,Rv1353c,Rv1719,sigH",True,https://mycobrowser.epfl.ch/genes/Rv0129c
Rv1435c,0.11272928300000001,Rv1435c,hypothetical protein,No COG annotation,Op922,"Rv0135c,Rv0691c,Rv1816,Rv2034,Rv3167c,sigH",True,https://mycobrowser.epfl.ch/genes/Rv1435c
Rv2293c,0.112197603,Rv2293c,hypothetical protein,Nucleotide transport and metabolism,Op1439,"Rv0081,Rv0465c,Rv0767c,Rv2034,sigH",True,https://mycobrowser.epfl.ch/genes/Rv2293c
Rv1690,0.1120441372,lprJ,lipoprotein LprJ,Function unknown,Op1061,"Rv0324,tcrA,csoR,Rv1353c,Rv1776c,sigH",True,https://mycobrowser.epfl.ch/genes/Rv1690
Rv1477,0.11190973030000001,ripA,peptidoglycan endopeptidase RipA,Cell wall/membrane/envelope biogenesis,Op947,"Rv0047c,csoR,Rv1049,whiA,sigH,espR",True,https://mycobrowser.epfl.ch/genes/Rv1477
Rv3414c,0.1113538142,sigD,ECF RNA polymerase sigma factor SigD,Transcription,Op2139,"Rv0081,Rv0324,whiA,sigH,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv3414c
Rv2721c,0.1102200695,Rv2721c,hypothetical protein,Cell wall/membrane/envelope biogenesis,Op1721,"Rv0023,Rv0047c,Rv0081,Rv0302,iniR,Rv0678,csoR,Rv1776c,mbcA,Rv2011c,Rv2250c,sigH,Rv3249c,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv2721c
Rv0179c,0.10976747790000001,lprO,lipoprotein LprO,Function unknown,Op124,"Rv0023,Rv0135c,trcR,Rv1353c,Rv1776c,Rv2021c,Rv3066,sigH,Rv3249c,espR",True,https://mycobrowser.epfl.ch/genes/Rv0179c
Rv1987,0.1092850989,Rv1987,chitinase,Carbohydrate transport and metabolism,Op1246,"Rv0023,Rv0081,whiA,mbcA,Rv2034,sigH",True,https://mycobrowser.epfl.ch/genes/Rv1987
Rv1478,0.108622116,Rv1478,peptidoglycan endopeptidase RipB,Cell wall/membrane/envelope biogenesis,Op947,"csoR,trcR,Rv1816,Rv2034,sigH,mtrA,Rv3830c",True,https://mycobrowser.epfl.ch/genes/Rv1478
Rv3717,0.1071795356,Rv3717,hypothetical protein,Cell wall/membrane/envelope biogenesis,Op2323,"Rv1776c,sigH",True,https://mycobrowser.epfl.ch/genes/Rv3717
Rv3675,0.1006741746,Rv3675,membrane protein,No COG annotation,Op2293,"mprA,mprB,Rv1776c,sigH",True,https://mycobrowser.epfl.ch/genes/Rv3675
Rv3310,0.09559993010000001,sapM,acid phosphatase,Cell wall/membrane/envelope biogenesis,Op2072,"Rv0023,Rv0081,senX3,regX3,Rv2011c,Rv2324,sigH,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv3310
Rv3354,0.0947573938,Rv3354,hypothetical protein,Function unknown,Op2101,"Rv0023,Rv0047c,mprA,mprB,Rv1776c,sigH",True,https://mycobrowser.epfl.ch/genes/Rv3354
Rv3413c,0.0938400327,Rv3413c,anti-sigma-D factor RsdA,Function unknown,Op2139,"Rv0135c,Rv0324,whiA,Rv2324,sigH,sigD,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv3413c
Rv2894c,0.09136573960000001,xerC,tyrosine recombinase XerC,"Cell cycle control, cell division, chromosome partitioning",Op1818,"Rv1776c,sigH,Rv3249c",True,https://mycobrowser.epfl.ch/genes/Rv2894c
Rv0208c,0.09049969590000001,Rv0208c,tRNA (guanine-N(7)-)-methyltransferase,"Translation, ribosomal structure and biogenesis",Op146,"csoR,Rv1353c,sigH",True,https://mycobrowser.epfl.ch/genes/Rv0208c
Rv2525c,0.0893326633,Rv2525c,hypothetical protein,Cell wall/membrane/envelope biogenesis,Op1597,"Rv0767c,Rv1353c,whiA,Rv1719,sigH",True,https://mycobrowser.epfl.ch/genes/Rv2525c
Rv3313c,0.0881379671,add,adenosine deaminase,Nucleotide transport and metabolism,Op2076,"Rv0023,Rv0302,phoP,devR",False,https://mycobrowser.epfl.ch/genes/Rv3313c
Rv1497,0.0856601039,lipL,esterase LipL,Defense mechanisms,Op956,"Rv0081,Rv0324,Rv0576,csoR,Rv2011c,Rv2989,Rv3249c,tcrX",False,https://mycobrowser.epfl.ch/genes/Rv1497
Rv1433,0.0846880031,Rv1433,hypothetical protein,Function unknown,Op921,"Rv0023,senX3,regX3,sigH,lsr2",True,https://mycobrowser.epfl.ch/genes/Rv1433
Rv3209,0.0807866451,Rv3209,hypothetical protein,No COG annotation,Op2011,"Rv0691c,Rv1353c,Rv1776c,Rv2250c,Rv2324,sigH,Rv3249c",True,https://mycobrowser.epfl.ch/genes/Rv3209
Rv1075c,0.0783409643,Rv1075c,hypothetical protein,Amino acid transport and metabolism,Op700,"Rv0047c,Rv0494,Rv2324,sigH,mtrA,lsr2,Rv3830c,espR",True,https://mycobrowser.epfl.ch/genes/Rv1075c
