,name,x,y,cog,color,link
meta,start,0.137023467204986,,,,
Rv0001,dnaA,1,0.0116941671,"Replication, recombination and repair",#1e90ff,
Rv0002,dnaN,2052,-0.0111152937,"Replication, recombination and repair",#1e90ff,
Rv0003,recF,3280,-0.0103218372,"Replication, recombination and repair",#1e90ff,
Rv0004,Rv0004,4434,-0.016770532600000002,Function unknown,#0000ff,
Rv0005,gyrB,5240,-0.0214782803,"Replication, recombination and repair",#1e90ff,
Rv0006,gyrA,7302,-0.0218063709,"Replication, recombination and repair",#1e90ff,
Rv0007,Rv0007,9914,-0.021705334,Function unknown,#0000ff,
Rv0008c,Rv0008c,11874,0.004508036,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0009,ppiA,12468,0.0011072569000000001,"Post-translational modification, protein turnover,and chaperones",#add8e6,
Rv0010c,Rv0010c,13133,-0.0066686332,Function unknown,#0000ff,
Rv0011c,Rv0011c,13714,0.0006828505,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0012,Rv0012,14089,-0.0072911249,Function unknown,#0000ff,
Rv0013,trpG,14914,-0.0032199772000000002,Amino acid transport and metabolism,#ff0000,
Rv0014c,pknB,15590,-0.005825330300000001,Transcription,#000000,
Rv0015c,pknA,17467,0.0047689242,Transcription,#000000,
Rv0016c,pbpA,18759,-0.0062517897000000005,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0017c,rodA,20231,-0.0112112627,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
Rv0018c,pstP,21637,-0.010578374100000001,Signal transduction mechanisms,#f4a460,
Rv0019c,fhaB,23270,-0.0068807632,Signal transduction mechanisms,#f4a460,
Rv0020c,fhaA,23861,-0.0018873578000000002,Signal transduction mechanisms,#f4a460,
Rv0021c,Rv0021c,25913,-0.0071411254,Function unknown,#0000ff,
Rv0022c,whiB5,27023,-0.0169200382,Transcription,#000000,
Rv0023,Rv0023,27595,0.005252393,Transcription,#000000,
Rv0024,Rv0024,28362,0.00046914950000000004,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0025,Rv0025,29245,-0.0048462645,Function unknown,#0000ff,
Rv0026,Rv0026,29722,-0.0111788322,Function unknown,#0000ff,
Rv0027,Rv0027,31189,-0.0091993529,Function unknown,#0000ff,
Rv0028,Rv0028,31514,0.010815523700000001,Function unknown,#0000ff,
Rv0029,Rv0029,32057,-0.0045865525,No COG annotation,#00bfbf,
Rv0030,Rv0030,33224,-0.0040637689000000005,Function unknown,#0000ff,
Rv0032,bioF2,34295,-0.00019145460000000002,Coenzyme transport and metabolism,#d3d3d3,
Rv0033,acpA,36607,0.0123857173,Lipid transport and metabolism,#87cefa,
Rv0034,Rv0034,36867,0.015729013400000002,Function unknown,#0000ff,
Rv0035,fadD34,37259,0.0019814161,Lipid transport and metabolism,#87cefa,
Rv0036c,Rv0036c,39056,-0.0047614702,Function unknown,#0000ff,
Rv0037c,Rv0037c,39877,0.0006752138,Amino acid transport and metabolism,#ff0000,
Rv0038,Rv0038,41304,-0.0032430379,Transcription,#000000,
Rv0039c,Rv0039c,42004,-0.0042810716,No COG annotation,#00bfbf,
Rv0040c,mtc28,42433,0.013741652600000001,Function unknown,#0000ff,
Rv0041,leuS,43562,-0.00590717,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0042c,Rv0042c,46581,-0.0008820333,Transcription,#000000,
Rv0043c,Rv0043c,47366,-0.002836491,Transcription,#000000,
Rv0044c,Rv0044c,48233,0.0028520867,Energy production and conversion,#708090,
Rv0045c,Rv0045c,49043,0.008006248,Amino acid transport and metabolism,#ff0000,
Rv0046c,ino1,50021,-0.0230118152,Lipid transport and metabolism,#87cefa,
Rv0047c,Rv0047c,51185,-0.0107609877,Transcription,#000000,
Rv0048c,Rv0048c,51828,-0.0008300263,Function unknown,#0000ff,
Rv0049,Rv0049,52831,-0.0020687572,Function unknown,#0000ff,
Rv0050,ponA1,53663,-0.0064881572000000005,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0051,Rv0051,55696,0.0019155511,Function unknown,#0000ff,
Rv0052,Rv0052,57410,0.005579909,Function unknown,#0000ff,
Rv0053,rpsF,58192,0.0039655979,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0054,ssb,58586,0.0009734848,"Replication, recombination and repair",#1e90ff,
Rv0055,rpsR1,59122,-0.0034819447,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0056,rplI,59409,0.0054550792,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0057,Rv0057,59896,0.002268571,No COG annotation,#00bfbf,
Rv0058,dnaB,60396,0.0026881238,"Replication, recombination and repair",#1e90ff,
Rv0059,Rv0059,63200,-0.0013589457,Cell wall/membrane/envelope biogenesis,#c71585,
Rv0060,Rv0060,63909,0.0049015016,Function unknown,#0000ff,
Rv0061c,Rv0061c,65012,-0.0093091139,No COG annotation,#00bfbf,
Rv0062,celA1,65552,-0.0031995667000000003,Carbohydrate transport and metabolism,#ffc0cb,
Rv0063,Rv0063,66923,-0.014808828100000001,Energy production and conversion,#708090,
Rv0063a,Rv0063a,68418,-0.0113213016,No COG annotation,#00bfbf,
Rv0064,Rv0064,68620,0.0045008193,Function unknown,#0000ff,
Rv0064A,vapB1,71589,-0.0028629433000000003,No COG annotation,#00bfbf,
Rv0065,vapC1,71821,0.0063089882,Nucleotide transport and metabolism,#87ceeb,
Rv0066c,icd2,72274,-0.0045562599,Energy production and conversion,#708090,
Rv0067c,Rv0067c,74629,-0.0048022719,Transcription,#000000,
Rv0068,Rv0068,75301,0.020327245600000002,Lipid transport and metabolism,#87cefa,
Rv0069c,sdaA,76237,-0.0133999274,Amino acid transport and metabolism,#ff0000,
Rv0070c,glyA2,77619,-0.0254174787,Amino acid transport and metabolism,#ff0000,
Rv0071,Rv0071,79486,0.0045776204,"Replication, recombination and repair",#1e90ff,
Rv0072,Rv0072,80624,-0.0021918686000000002,Defense mechanisms,#90ee90,
Rv0073,Rv0073,81676,-0.0065497066,Defense mechanisms,#90ee90,
Rv0074,Rv0074,82748,-0.0235294721,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
Rv0075,Rv0075,83996,-0.016325688,Amino acid transport and metabolism,#ff0000,
Rv0076c,Rv0076c,85183,0.007526025600000001,No COG annotation,#00bfbf,
Rv0077c,Rv0077c,85636,-0.0012986158,Lipid transport and metabolism,#87cefa,
Rv0078,Rv0078,86528,-0.0048416200000000005,Transcription,#000000,
Rv0078A,Rv0078A,87208,-0.0013420530000000002,Function unknown,#0000ff,
Rv0078B,Rv0078B,87798,-0.0055657369,No COG annotation,#00bfbf,
Rv0079,Rv0079,88204,-0.0596603699,"Translation, ribosomal structure and biogenesis",#daa520,
Rv0080,Rv0080,89022,-0.0236980122,Transcription,#000000,
Rv0081,Rv0081,89575,-0.0344534519,Transcription,#000000,
Rv0082,Rv0082,89924,-0.0236311205,Energy production and conversion,#708090,
Rv0083,Rv0083,90400,-0.019328741,Energy production and conversion,#708090,
Rv0084,hycD,92328,-0.006636660700000001,Energy production and conversion,#708090,
Rv0085,hycP,93289,-0.0108255405,Energy production and conversion,#708090,
Rv0086,hycQ,93951,-0.0054228425,Energy production and conversion,#708090,
Rv0087,hycE,95414,-0.0166729581,Energy production and conversion,#708090,
Rv0088,Rv0088,96927,-0.0006539755000000001,Function unknown,#0000ff,
Rv0089,Rv0089,97758,-0.014844789800000001,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
Rv0090,Rv0090,98480,-0.0275476373,Function unknown,#0000ff,
Rv0091,mtn,99684,-0.0213597025,Amino acid transport and metabolism,#ff0000,
Rv0092,ctpA,100583,-0.004583772900000001,Inorganic ion transport and metabolism,#8b4513,
Rv0093c,Rv0093c,102815,-0.0052037266,Function unknown,#0000ff,
